totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
113,48,65,745,18632684,3207984,15,4713,77,9,1,0,0,613,1467933,0,80,16766455,339284,0,1093,15,12,platinum
75,30,45,794,13795253,1687626,22,3296,106,19,2,0,0,415,1051251,0,67,12681479,310004,0,457,22,13,platinum
23,8,15,202,4160724,616448,22,1126,24,3,0,0,0,125,314675,0,13,3733550,153315,0,174,22,11,platinum
53,19,34,429,8594134,1357998,23,1974,48,7,0,0,0,248,712066,0,63,7686758,115659,0,529,23,12,platinum
50,11,39,493,9509689,1245021,18,2034,60,8,2,1,0,247,703456,0,83,8912867,150989,0,355,18,13,platinum
24,15,9,133,2719257,521637,10,884,10,0,0,0,0,102,254249,0,12,2387774,50221,0,203,10,8,platinum
38,20,18,230,5373395,1047289,13,1509,20,2,0,0,0,215,426003,0,23,4452402,489743,0,259,13,13,platinum
18,10,8,114,3111780,405949,13,991,13,1,0,0,0,56,231117,0,22,2747873,96478,0,123,13,7,diamond
39,18,21,229,5661712,1146130,11,1393,17,2,0,0,0,225,465046,0,25,4943789,237494,0,359,11,11,diamond
145,78,67,1030,24153099,3262931,18,8384,81,12,0,0,0,730,1842533,0,119,22071235,496714,0,1036,18,14,diamond
28,11,17,213,4099642,736239,17,1003,30,5,0,0,0,144,349937,0,17,3667420,67459,0,260,17,14,diamond
19,6,13,97,2778447,503041,8,781,7,1,0,0,0,96,221006,0,24,2428046,54197,0,165,8,10,gold
68,31,37,606,11294387,1823123,23,2980,51,4,0,0,0,234,915989,0,79,8748263,1592088,0,507,23,9,gold
310,119,191,2369,55618065,6781560,26,17357,224,24,3,0,0,1559,3979044,0,386,50948800,713884,0,1865,26,13,challenger
108,35,73,891,21258005,2596787,23,6711,96,5,0,0,0,466,1479183,0,145,19526365,199827,0,738,23,16,master
139,52,87,1178,23433252,3302439,23,6524,119,16,0,0,0,659,1792673,0,175,21547763,304215,0,1118,23,13,master
228,99,129,2043,37033987,5415128,23,11218,234,30,1,0,0,884,2949756,0,239,33864568,838957,0,1682,23,14,master
154,64,90,1048,20992181,3759335,20,6602,87,6,1,0,0,797,1780115,0,104,18884022,395870,0,1330,20,11,master
24,9,15,222,4510108,648985,21,1420,22,4,0,0,0,145,336340,0,25,4149781,58934,0,189,21,11,master
175,68,107,1387,34081120,4421643,22,10615,153,17,3,0,0,863,2370998,0,233,31150423,320012,0,1192,22,16,master
106,44,62,886,17171369,2312649,23,3972,87,14,4,1,0,497,1302013,0,94,15818474,264108,0,623,23,13,master
56,29,27,256,7232101,1314412,13,1552,15,1,0,0,0,271,609584,0,43,6436266,184371,0,438,13,11,master
27,11,16,198,4163301,615765,14,1035,24,2,0,0,0,138,324374,0,17,3644279,300411,0,198,14,11,master
239,102,137,1797,42986244,5716470,19,13645,184,8,1,0,0,1190,3054584,0,279,39360573,383621,0,1491,19,16,master
183,75,108,1416,32992523,4110856,19,9902,146,23,5,2,0,896,2356343,0,182,30254745,380428,0,1137,19,12,master
163,59,104,1321,32473537,4099477,22,10477,137,20,3,0,0,814,2234638,0,255,29877449,282247,0,1070,22,13,master
72,31,41,418,11877839,1583523,17,3793,27,3,0,0,0,262,877382,0,66,10631384,273641,0,496,17,9,master
13,5,8,70,1733490,251554,10,714,5,0,0,0,0,61,144846,0,3,1516625,39679,0,90,10,11,silver
4,2,2,34,515490,115381,18,377,5,0,0,0,0,28,51018,0,3,457868,24700,0,33,18,11,silver
93,31,62,676,14034652,2877470,20,4587,61,4,1,0,0,680,1193277,0,136,12359654,410664,0,786,20,15,silver
7,3,4,67,1075784,169549,21,490,8,0,0,0,0,40,96040,0,12,962422,19765,0,67,21,11,bronze
13,8,5,64,1331683,318505,10,588,3,0,0,0,0,78,135308,0,7,1220130,30453,0,95,10,11,bronze
13,6,7,46,1145576,271344,8,445,4,1,0,0,0,59,126023,0,8,932860,130503,0,94,8,8,bronze
3,3,0,8,274740,85557,4,88,1,0,0,0,0,31,30917,0,1,226172,30020,0,31,4,13,bronze
