totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
71,33,38,508,10833735,1276879,19,13643,75,8,1,0,0,467,957341,0,132,10413627,209624,0,621,19,14,platinum
19,10,9,114,3070684,308956,18,4009,15,2,0,0,0,100,253629,0,26,2930385,71765,0,169,18,11,platinum
76,33,43,541,13127036,1618554,24,15654,74,11,1,1,0,499,1058809,0,158,12488266,367057,0,693,24,15,platinum
40,19,21,228,5254219,701660,17,7112,23,5,1,0,0,236,479862,0,63,4991341,198569,0,330,17,12,diamond
41,16,25,218,6741131,748757,19,8565,25,1,0,0,0,248,542652,0,62,6469794,176830,0,375,19,13,diamond
24,15,9,150,3034001,435167,17,4124,18,0,0,0,0,135,291620,0,24,2947694,61553,0,205,17,10,gold
3,1,2,16,353276,43971,6,512,2,0,0,0,0,15,33877,0,4,340485,9767,0,19,6,7,gold
1,0,1,5,213584,23434,5,225,0,0,0,0,0,4,16463,0,0,204569,7544,0,15,5,4,gold
17,4,13,141,2411214,298650,14,2926,21,2,0,0,0,96,228687,0,41,2287101,68807,0,175,14,13,gold
11,5,6,46,1077066,151595,8,1656,8,0,0,0,0,48,111776,0,12,1050050,19305,0,89,8,8,gold
17,7,10,129,3486072,327512,18,4067,16,6,1,0,0,93,264503,0,31,3315541,92769,0,200,18,12,gold
2,2,0,13,293228,34341,13,431,3,0,0,0,0,14,23832,0,1,285081,5323,0,6,13,10,gold
3,1,2,29,512956,58365,18,669,6,1,0,0,0,17,45322,0,4,487499,24257,0,37,18,8,gold
1,0,1,3,115469,9916,3,171,0,0,0,0,0,2,11001,0,2,111188,4280,0,12,3,2,gold
69,28,41,361,9291591,958292,17,13779,45,5,0,0,0,304,836893,0,136,8927175,207417,0,632,17,11,challenger
265,100,165,1585,37243181,4143034,18,50800,198,14,0,0,0,1132,3355154,0,543,35705633,766968,0,2326,18,13,master
1,0,1,13,126498,18866,13,163,3,0,0,0,0,3,13425,0,1,123263,3235,0,6,13,3,master
118,53,65,634,15693949,1919401,15,22798,69,8,2,1,0,520,1446854,0,194,14937890,435415,0,1002,15,11,master
7,3,4,47,1068722,118981,14,1280,10,0,0,0,0,36,93110,0,11,934813,129735,0,59,14,12,silver
46,21,25,367,6901826,904239,18,8098,53,7,2,0,0,324,624032,0,65,6639760,165080,0,432,18,14,silver
1,1,0,1,51775,11283,1,112,0,0,0,0,0,6,7356,0,0,50833,941,0,4,1,6,silver
35,11,24,264,5159178,525470,21,6517,34,7,1,0,0,174,438573,0,66,4934032,155969,0,273,21,10,silver
6,3,3,46,772292,103310,17,1007,6,1,0,0,0,37,72805,0,8,750623,18007,0,51,17,8,silver
40,17,23,258,5992538,600506,21,7690,31,4,2,0,0,189,518038,0,66,5803808,146868,0,356,21,10,silver
2,1,1,4,220103,43867,2,324,0,0,0,0,0,16,24578,0,1,206915,8363,0,14,2,12,bronze
61,31,30,437,9584985,1458017,24,10410,49,11,1,0,0,535,827865,0,101,8740968,776836,0,546,24,17,bronze
18,6,12,126,2218286,331971,23,2816,19,2,2,0,0,118,218409,0,19,2127582,76100,0,185,23,14,bronze
5,4,1,12,375630,91772,8,514,1,0,0,0,0,43,46064,0,1,356507,15015,0,35,8,13,bronze
