totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
126,56,70,1149,20634074,3646326,25,8384,180,36,11,0,0,857,1646104,0,152,16977415,489352,0,799,25,17,platinum
32,12,20,400,5531628,1100579,24,1945,61,12,7,1,0,330,467150,0,38,4269396,743655,0,234,24,19,platinum
55,17,38,635,8880459,1644732,22,3284,110,32,7,3,0,377,748809,0,67,7727464,172799,0,339,22,13,platinum
276,128,148,2607,53464002,7308029,29,18797,461,111,24,4,0,1905,3755529,0,388,46113842,2165281,0,1126,29,17,diamond
61,27,34,603,11552063,1916383,24,3946,105,35,9,3,0,446,846529,0,95,8598552,1762326,0,282,24,15,diamond
45,19,26,432,8807582,1424847,26,3414,84,22,4,0,0,288,635771,0,65,6387188,1670063,0,191,26,14,diamond
40,16,24,282,7163391,1104831,19,3193,51,19,3,0,0,209,513900,0,73,5482817,1011225,0,185,19,11,diamond
831,376,455,7480,159020654,21682996,25,78766,1234,260,60,8,0,4779,11309238,0,1787,141380159,2540445,0,3041,25,16,diamond
2,1,1,23,256449,56951,21,182,6,3,1,0,0,22,24428,0,1,216304,14230,0,12,21,14,gold
20,10,10,180,3996675,633218,19,1798,28,8,2,0,0,124,289468,0,24,3272703,398338,0,116,19,12,gold
34,15,19,401,6155529,995121,26,2195,79,27,5,0,0,223,473690,0,47,4880146,592406,0,148,26,14,gold
53,19,34,441,10644588,1377577,16,4373,79,23,4,1,0,223,714898,0,104,8023051,1957467,0,151,16,9,master
109,41,68,995,20261271,2913645,27,8547,183,59,17,3,0,529,1455125,0,139,16210548,1937589,0,484,27,12,master
33,13,20,235,5178839,756353,18,2049,33,11,1,1,0,135,387895,0,32,4021826,488107,0,162,18,12,master
262,122,140,1831,42072163,5797962,21,19149,288,75,21,5,0,1375,3133423,0,418,31167632,6280402,0,1168,21,13,master
35,16,19,276,5613054,1078710,17,2260,48,6,1,0,0,296,458581,0,36,4110067,835911,0,184,17,17,silver
3,2,1,33,810834,114553,12,459,4,1,0,0,0,26,51743,0,7,636946,105803,0,12,12,14,silver
9,3,6,71,1858491,254813,15,581,11,3,0,0,0,53,126076,0,15,1374427,274600,0,41,15,11,silver
2,0,2,20,301342,30473,14,95,5,2,0,0,0,2,23042,0,4,228668,33067,0,11,14,1,silver
114,56,58,1045,19315935,3196513,23,10276,167,29,6,0,0,789,1514231,0,140,16125143,1367473,0,647,23,18,silver
20,10,10,262,3389374,608285,31,1178,60,17,5,2,0,183,277646,0,12,2668300,333055,0,85,31,16,bronze
10,6,4,92,1750060,307430,17,791,16,4,0,0,0,83,130436,0,14,1407222,149707,0,59,17,15,bronze
10,7,3,53,1490667,301115,14,616,9,3,0,0,0,81,116768,0,1,1200907,102100,0,64,14,13,bronze
5,2,3,67,1126380,172256,19,546,10,4,1,0,0,45,83859,0,8,879410,107787,0,19,19,12,bronze
1,1,0,2,207047,38630,2,66,0,0,0,0,0,7,12082,0,0,147875,31625,0,2,2,7,bronze
1,1,0,0,87887,28674,0,54,0,0,0,0,0,11,8667,0,1,68045,8035,0,6,0,11,bronze
2,0,2,26,433307,69708,15,240,1,0,0,0,0,10,30505,0,2,346099,44106,0,10,15,6,bronze
19,11,8,102,1828547,505552,13,833,11,0,0,0,0,166,191328,0,9,1511985,108686,0,110,13,17,bronze
2,2,0,16,459645,79818,8,216,0,0,0,0,0,23,30992,0,2,363841,42131,0,16,8,16,bronze
7,2,5,76,1207726,163541,18,418,17,3,1,0,0,24,91281,0,12,914977,186837,0,21,18,7,bronze
37,13,24,403,6036149,1044842,28,2084,71,20,4,1,0,265,507156,0,47,4644258,719487,0,216,28,13,bronze
