totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
39,13,26,215,5318277,1282124,11,6673,20,0,0,0,0,174,486952,0,40,1363241,3882670,0,425,11,9,platinum
20,8,12,117,3007168,575575,12,1242,8,0,0,0,0,56,241010,0,16,686316,2049628,0,159,12,6,platinum
283,131,152,1495,41039927,7616676,22,52790,122,16,1,0,0,1103,3523674,0,284,9722476,30947948,0,2327,22,14,platinum
89,40,49,534,14295638,2432400,17,16001,60,7,2,0,0,428,1115890,0,133,2660852,11415384,0,594,17,12,platinum
69,31,38,470,10269352,2048318,17,12325,28,6,0,0,0,427,889750,0,97,2790564,7348814,0,470,17,13,platinum
44,17,27,194,5495575,1298853,10,7051,10,0,0,0,0,220,499361,0,47,1509316,3882390,0,329,10,12,platinum
172,80,92,1160,23758758,5498462,22,11964,126,12,1,0,0,857,2086187,0,130,5895595,15978930,0,1688,22,13,platinum
46,23,23,240,6509545,1416044,17,8966,20,4,0,0,0,245,544683,0,59,1716841,4744964,0,310,17,12,diamond
58,26,32,432,8538724,1649827,19,8944,44,7,1,0,0,307,739551,0,71,2024892,6285701,0,456,19,9,diamond
60,29,31,342,7683056,1457555,16,8213,23,2,0,0,0,393,668313,0,67,1300741,6218594,0,390,16,15,diamond
59,25,34,315,7976273,1820896,16,10459,29,3,0,0,0,295,728300,0,51,2233992,5620952,0,484,16,12,diamond
41,22,19,214,6332624,1300666,12,5467,13,0,0,0,0,157,498668,0,32,1456650,4597655,0,321,12,9,diamond
77,31,46,427,9495846,2087929,11,13270,35,6,0,0,0,299,899032,0,81,2698854,6709018,0,558,11,11,diamond
43,19,24,308,5196201,1128666,19,5689,22,3,0,0,0,300,487951,0,37,891237,4190036,0,314,19,14,diamond
73,33,40,436,8396060,2073230,18,10843,44,8,0,0,0,334,789186,0,67,2021395,6266293,0,505,18,13,diamond
133,53,80,1075,17193679,3021232,21,20813,105,21,3,0,0,759,1594985,0,137,2192616,14751719,0,901,21,19,diamond
123,64,59,805,17136725,3051332,19,19330,67,8,1,0,0,791,1493259,0,153,3192351,13593106,0,814,19,15,gold
34,15,19,328,4207144,916527,18,4635,36,3,0,0,0,214,422674,0,38,792091,3369927,0,228,18,14,gold
152,80,72,1355,23313448,4259020,27,24939,143,21,2,0,0,1247,2049071,0,154,3912923,19208305,0,1383,27,16,gold
3,1,2,18,496780,89261,9,598,3,1,0,0,0,15,40621,0,0,129827,359839,0,36,9,6,gold
33,19,14,217,4532058,901643,16,4391,19,0,0,0,0,205,383324,0,29,958891,3465110,0,213,16,12,gold
39,15,24,272,4937130,886838,20,7004,32,2,0,0,0,168,440151,0,38,1043875,3838983,0,185,20,9,challenger
154,59,95,963,24672979,4468432,18,33263,88,15,1,0,0,663,1954636,0,182,5482515,18956510,0,1061,18,14,challenger
35,13,22,255,5076231,1007502,20,6784,29,6,1,0,0,127,439827,0,38,1341451,3677874,0,274,20,8,challenger
55,27,28,342,8988427,1447566,23,11893,38,3,1,1,0,204,683348,0,66,1729741,7211490,0,298,23,13,challenger
64,27,37,436,8165518,1691132,17,11565,43,7,2,1,0,253,744575,0,80,2280497,5801047,0,410,17,12,challenger
