totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
138,65,73,1146,21463816,3591287,21,22660,158,27,3,0,0,951,1826420,0,312,6931205,14023573,0,872,21,17,gold
10,6,4,71,2038705,268680,12,2540,6,0,0,0,0,59,148480,0,18,696142,1314517,0,63,12,9,gold
86,26,60,404,12617607,1760196,18,16877,38,7,3,0,0,379,989026,0,192,4431449,8085990,0,494,18,10,challenger
44,15,29,248,7398886,1087926,15,8521,38,8,1,1,0,233,557339,0,74,2249044,5001282,0,278,15,12,master
569,267,302,3087,80405312,11137177,19,106107,281,43,7,2,0,2616,6776752,0,1018,22802604,56686250,0,2886,19,13,master
93,47,46,357,13330236,2264558,12,17949,30,8,1,0,0,507,1074896,0,160,4335942,8739615,0,611,12,15,master
24,10,14,153,4672074,646819,14,6055,24,4,0,0,0,129,342581,0,56,1428315,3179738,0,146,14,12,master
46,15,31,384,9419248,1088096,21,5676,70,26,11,3,0,113,637986,0,106,3011155,5895298,0,264,21,6,master
4,2,2,14,582430,83082,5,896,2,0,0,0,0,22,45048,0,3,176502,404092,0,24,5,8,master
14,5,9,72,2122286,269761,10,2885,11,5,0,0,0,54,161861,0,24,712373,1399572,0,80,10,18,master
87,27,60,556,15347138,1982338,16,19499,81,11,1,0,0,347,1166630,0,164,4943954,10267017,0,566,16,9,master
28,7,21,147,5095904,721969,13,5684,22,5,1,1,0,177,361796,0,69,1662311,3343993,0,171,13,16,master
135,55,80,762,25968302,3205692,16,32335,101,19,2,0,0,748,1835539,0,305,8178129,17489908,0,621,16,19,master
73,35,38,615,12066661,2049024,30,14954,86,16,2,0,0,517,1007767,0,173,3602708,8355701,0,477,30,17,silver
112,53,59,703,15791180,2736848,17,19961,85,14,0,0,0,750,1408937,0,199,4774732,10877704,0,1082,17,13,silver
25,8,17,311,4431732,678324,32,4888,51,13,3,1,0,157,371821,0,52,1516143,2840535,0,210,32,14,silver
2,2,0,6,125457,51100,4,92,1,0,0,0,0,14,22644,0,1,33717,90987,0,21,4,8,bronze
3,3,0,23,429682,104289,11,521,2,0,0,0,0,24,40981,0,4,146204,282654,0,20,11,11,bronze
