totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
50,34,16,279,5406691,1517883,17,1696,18,2,0,0,0,305,542261,0,17,3914321,891621,0,414,17,12,platinum
53,23,30,466,8682232,1468198,20,2979,35,2,0,0,0,210,706145,0,66,5960598,1988281,0,447,20,12,platinum
19,6,13,183,2951955,567910,23,792,22,3,0,0,0,102,244923,0,17,2031677,627161,0,152,23,9,platinum
84,37,47,622,10520196,2754696,20,3622,47,3,0,0,0,509,1012797,0,41,7504904,1896400,0,781,20,14,platinum
10,5,5,64,1113487,245040,12,385,4,0,0,0,0,69,104605,0,3,776694,241892,0,71,12,14,platinum
20,11,9,135,3059242,552563,15,900,10,1,0,0,0,93,244443,0,14,2136119,682766,0,157,15,8,platinum
30,11,19,251,4590065,992326,19,2119,21,3,0,0,0,192,392311,0,22,3433676,946756,0,216,19,13,platinum
109,64,45,677,13786307,3126489,16,4103,46,3,0,0,0,678,1268728,0,42,9135087,3099535,0,978,16,13,platinum
18,12,6,116,2286323,618080,16,597,8,1,0,0,0,176,210485,0,9,1552242,497361,0,123,16,15,platinum
62,24,38,441,8940875,1955361,15,3359,33,3,0,0,0,290,786036,0,52,6069960,2051333,0,582,15,11,platinum
40,19,21,287,5447059,1062299,17,1371,21,4,0,0,0,204,500505,0,29,3732391,1163798,0,361,17,10,platinum
96,45,51,658,13922714,3350093,16,4392,34,4,0,0,0,457,1253633,0,77,9446947,3130079,0,1000,16,11,platinum
76,39,37,477,9438098,2135793,14,4595,31,3,0,0,0,351,889378,0,60,6381613,2232358,0,714,14,10,platinum
53,24,29,359,7337974,1679482,16,3735,25,5,0,0,0,329,656821,0,44,5075398,1787941,0,435,16,13,platinum
17,9,8,118,2311291,575555,15,689,10,1,0,0,0,109,204135,0,8,1582957,498703,0,170,15,12,platinum
87,39,48,751,10668017,2746831,18,3234,61,4,0,0,0,563,1036785,0,42,7469013,2237464,0,794,18,12,platinum
19,10,9,170,2466188,590682,22,962,15,0,0,0,0,137,237159,0,10,1660213,554009,0,173,22,14,platinum
41,19,22,335,6797893,1385156,19,1743,26,1,0,0,0,206,550095,0,23,4864277,1175462,0,399,19,12,platinum
26,13,13,201,3254640,725334,15,1052,17,3,1,0,0,113,307624,0,18,2403274,649656,0,213,15,9,platinum
46,18,28,329,6050831,1314266,17,1505,27,4,0,0,0,263,539502,0,27,4184976,1284419,0,406,17,14,diamond
16,8,8,83,1639466,350470,10,772,4,0,0,0,0,67,163254,0,8,1157515,361800,0,109,10,8,diamond
69,38,31,465,8280451,2315689,15,2493,16,2,0,0,0,536,789465,0,15,5385477,1950021,0,640,15,14,diamond
14,8,6,72,1576066,387408,12,568,5,0,0,0,0,61,151330,0,8,1041932,352654,0,134,12,7,diamond
