totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
44,21,23,116,1645261,623262,10,1043,3,0,0,0,0,161,451135,0,15,285412,1337030,0,646,10,9,platinum
53,27,26,100,1172722,714781,10,1161,5,0,0,0,0,191,511198,0,24,311844,848820,0,777,10,8,platinum
24,10,14,114,2825859,418894,11,3937,10,2,0,0,0,97,307495,0,18,459033,2357040,0,330,11,9,platinum
22,12,10,31,475673,310955,5,327,0,0,0,0,0,110,210772,0,5,69921,402229,0,306,5,8,platinum
30,6,24,148,3400968,447071,10,5095,5,1,0,0,0,114,339674,0,23,517884,2848595,0,316,10,11,platinum
31,12,19,112,2129511,461477,14,2240,2,0,0,0,0,111,341183,0,22,313217,1809468,0,401,14,9,platinum
12,3,9,45,934254,185340,9,1149,3,0,0,0,0,45,138001,0,9,168748,754168,0,153,9,7,diamond
72,28,44,182,2867092,1474929,9,2833,4,0,0,0,0,487,774182,0,26,532125,2250195,0,1129,9,14,diamond
31,13,18,61,1227187,524254,8,1020,3,0,0,0,0,189,317819,0,13,237060,976698,0,445,8,12,diamond
19,9,10,35,570929,320443,5,576,4,0,0,0,0,92,192164,0,8,143298,416703,0,293,5,11,diamond
44,25,19,88,2036608,639886,8,2457,6,0,0,0,0,192,397326,0,9,309046,1715975,0,532,8,15,diamond
54,25,29,91,1527399,896760,5,1529,3,0,0,0,0,221,536911,0,11,257171,1221653,0,809,5,10,diamond
65,29,36,242,6634723,1001967,10,10173,15,2,0,0,0,295,676067,0,44,1039550,5547650,0,560,10,11,diamond
32,15,17,57,1239956,436110,7,1084,2,0,0,0,0,130,311387,0,20,239977,980766,0,419,7,9,diamond
160,84,76,509,18194716,2606668,18,27077,26,3,0,0,0,471,1683322,0,92,3919514,14164837,0,1275,18,8,diamond
17,10,7,69,1778255,269649,11,2489,4,0,0,0,0,77,190627,0,14,275949,1493353,0,135,11,10,diamond
50,21,29,175,2727399,737060,10,2621,11,0,0,0,0,257,524141,0,35,378722,2267475,0,663,10,11,diamond
31,16,15,68,1209112,475041,9,1109,2,0,0,0,0,183,304565,0,8,168804,1033562,0,411,9,17,gold
9,2,7,14,313161,104287,4,227,0,0,0,0,0,27,96019,0,5,47669,258748,0,146,4,6,gold
1,1,0,2,64691,29816,2,63,0,0,0,0,0,14,13863,0,1,7363,57327,0,22,2,14,gold
2,1,1,6,77038,32384,4,52,0,0,0,0,0,14,19265,0,3,13286,63751,0,24,4,8,gold
24,6,18,94,2984245,457379,10,3394,3,1,0,0,0,133,283942,0,17,492969,2474699,0,333,10,12,gold
5,0,5,38,634746,69863,19,864,2,1,0,0,0,23,63116,0,6,135554,493587,0,34,19,10,gold
8,4,4,10,368687,95248,3,283,0,0,0,0,0,24,82389,0,4,33230,330481,0,108,3,5,gold
20,7,13,115,3150575,398528,13,3779,6,1,0,0,0,91,268446,0,21,440167,2671882,0,201,13,10,gold
98,46,52,198,4199468,1747485,16,4241,7,1,0,0,0,527,998216,0,44,804095,3344318,0,1397,16,13,challenger
39,21,18,75,1474317,479192,5,1253,0,0,0,0,0,147,356457,0,20,249685,1189648,0,497,5,10,challenger
115,50,65,166,3719159,1165735,12,4432,8,0,0,0,0,302,1041383,0,42,658446,3027001,0,1376,12,9,challenger
63,23,40,118,1976655,960642,6,1582,6,0,0,0,0,305,580501,0,29,489828,1427306,0,892,6,13,challenger
56,25,31,139,2828469,983513,14,3217,8,1,0,0,0,298,546590,0,27,560688,2225873,0,712,14,12,challenger
123,57,66,202,4263406,2023307,9,4478,9,1,0,0,0,591,1121770,0,42,846072,3384797,0,1670,9,12,challenger
47,19,28,190,4374440,749750,14,5821,16,3,0,0,0,210,505580,0,28,658305,3670731,0,556,14,11,challenger
60,21,39,172,2187378,881480,10,1701,8,0,0,0,0,253,614201,0,35,380031,1759020,0,820,10,8,challenger
171,72,99,350,5532332,2624863,12,5652,17,2,1,0,0,739,1588379,0,81,1308555,4138499,0,2185,12,13,challenger
101,37,64,228,4427034,1623927,15,4245,12,2,0,0,0,492,1013842,0,57,752232,3580795,0,1437,15,11,challenger
176,71,105,265,6971506,2632548,8,8333,8,3,0,0,0,693,1635722,0,63,1611511,5264448,0,2287,8,12,challenger
25,12,13,50,1282852,440704,8,1691,2,0,0,0,0,133,250728,0,11,261898,1015717,0,306,8,12,challenger
40,13,27,68,920602,507820,9,840,4,1,0,0,0,132,351067,0,18,255940,650492,0,513,9,8,challenger
37,14,23,86,2107457,596251,5,2372,6,0,0,0,0,148,391606,0,20,324184,1743474,0,521,5,11,master
206,108,98,257,4936182,2806714,6,4529,6,0,0,0,0,747,1817228,0,55,1258582,3589749,0,2586,6,9,master
51,19,32,121,3213213,853679,11,4702,4,0,0,0,0,244,495722,0,26,620260,2577416,0,631,11,11,master
41,19,22,100,1603385,517275,6,2057,6,0,0,0,0,123,390203,0,21,359506,1219619,0,461,6,7,master
185,78,107,249,5489245,2791411,9,5522,11,0,0,0,0,758,1760019,0,49,1008572,4390059,0,2723,9,10,master
77,30,47,109,1873801,1033660,6,1921,2,0,0,0,0,289,706275,0,30,474033,1380728,0,976,6,12,master
13,6,7,25,904595,173991,8,1145,0,0,0,0,0,45,117189,0,6,125135,771461,0,113,8,12,master
162,80,82,534,20918714,3784884,9,27740,25,2,0,0,0,799,1921015,0,188,2806615,17881567,0,1869,9,12,master
189,91,98,712,22108736,3644457,14,32674,56,2,0,0,0,793,2043135,0,137,3848707,18153995,0,1667,14,11,master
175,83,92,407,8395061,2733496,11,9897,18,1,0,0,0,752,1718729,0,83,1673085,6645778,0,2218,11,15,master
233,116,117,445,7183565,3892277,18,7041,21,1,0,0,0,1122,2137025,0,70,1386894,5654807,0,2854,18,11,master
63,25,38,160,3342753,938548,12,3454,4,0,0,0,0,267,602560,0,27,519475,2777828,0,819,12,13,master
102,54,48,193,4860001,1574486,11,5629,4,0,0,0,0,530,924306,0,52,935605,3884027,0,1254,11,14,master
29,9,20,43,1062693,475882,7,1080,1,0,0,0,0,160,276778,0,13,235662,809780,0,440,7,12,master
64,29,35,330,8872549,1121304,17,12141,20,4,0,0,0,263,778134,0,39,1171131,7641858,0,573,17,10,master
117,54,63,171,2991425,1666905,6,2601,5,0,0,0,0,450,1034921,0,51,767994,2168336,0,1455,6,10,master
14,6,8,36,1052848,309800,7,955,2,0,0,0,0,86,166432,0,11,192848,841905,0,213,7,11,master
50,22,28,96,1867374,761216,6,1972,5,0,0,0,0,221,485186,0,14,349701,1494095,0,677,6,9,master
59,23,36,113,2368453,898660,10,2739,7,0,0,0,0,232,532209,0,35,428404,1924297,0,692,10,12,master
62,27,35,89,2421329,904641,11,2485,5,0,0,0,0,235,566352,0,33,525123,1858519,0,774,11,10,master
84,42,42,121,2879221,1355726,7,2878,3,0,0,0,0,355,800808,0,39,684538,2145508,0,1088,7,9,master
135,47,88,177,3733194,1871730,6,3231,7,1,0,0,0,463,1220489,0,59,688524,2988266,0,1692,6,9,master
116,46,70,500,9861399,1824695,19,12979,33,2,0,0,0,602,1237949,0,79,1475768,8303747,0,1316,19,13,master
28,15,13,47,690305,520716,4,676,2,0,0,0,0,167,265234,0,6,126913,548327,0,398,4,11,master
51,23,28,115,2050535,811003,7,1931,6,0,0,0,0,171,509472,0,13,432044,1598458,0,722,7,9,master
40,17,23,70,1778324,592324,5,2032,3,0,0,0,0,167,379165,0,18,351355,1403273,0,480,5,9,master
90,44,46,148,2599076,1259611,7,2237,7,0,0,0,0,359,828859,0,37,495574,2060599,0,1213,7,9,master
87,47,40,269,9136739,1419611,13,13711,14,0,0,0,0,277,929567,0,39,1635135,7453701,0,812,13,11,master
96,47,49,333,9064092,1464100,11,12118,21,3,1,0,0,307,1030539,0,62,1710676,7279522,0,1058,11,10,master
33,10,23,41,951622,500772,6,784,0,0,0,0,0,108,297455,0,17,237709,698299,0,454,6,12,master
32,9,23,76,1520915,470348,7,1210,3,1,0,0,0,135,328465,0,11,277512,1224948,0,444,7,10,master
27,10,17,107,2266243,359112,13,2918,9,3,0,0,0,109,259379,0,23,306264,1942418,0,237,13,8,master
112,58,54,237,6986714,1647450,12,8812,11,0,0,0,0,486,1102887,0,54,1179643,5755199,0,1268,12,10,master
50,26,24,101,1870602,748858,8,1861,4,1,0,0,0,182,442060,0,29,403002,1425963,0,592,8,8,master
84,43,41,115,2447504,1369048,7,2167,1,0,0,0,0,422,769966,0,21,489026,1913117,0,1137,7,12,master
36,22,14,104,3055536,558176,9,4498,7,0,0,0,0,210,361028,0,18,479173,2566919,0,304,9,14,master
54,21,33,58,1598462,689834,6,1691,2,0,0,0,0,204,465559,0,26,324508,1262003,0,666,6,9,master
49,21,28,75,1712063,669528,6,2106,2,0,0,0,0,183,432636,0,22,357211,1338166,0,643,6,12,master
41,20,21,76,2035568,556763,11,2103,0,0,0,0,0,122,416922,0,28,428872,1593178,0,555,11,8,master
111,44,67,167,3460314,1474308,5,3507,6,0,0,0,0,363,1015677,0,39,747170,2678864,0,1443,5,13,master
359,159,200,430,8645304,4859352,7,7626,10,0,0,0,0,1374,3206370,0,131,2093951,6419665,0,4712,7,11,master
119,56,63,192,2917207,1812335,8,2129,6,0,0,0,0,552,1087191,0,31,642613,2236268,0,1604,8,12,master
93,41,52,186,3849072,1436768,12,4283,9,1,0,0,0,372,910730,0,46,675407,3130116,0,1250,12,12,master
92,19,73,123,2591934,1300283,5,1966,4,0,0,0,0,291,853408,0,43,571775,1962256,0,1360,5,9,master
57,26,31,202,5334404,955852,11,7095,14,1,0,0,0,286,625197,0,44,951466,4349297,0,685,11,12,master
138,68,70,220,5828833,2029448,9,6626,9,0,0,0,0,517,1292784,0,47,1293599,4476363,0,1701,9,10,master
68,28,40,131,2973339,836126,10,3310,3,0,0,0,0,199,619520,0,38,447010,2485648,0,783,10,8,master
79,32,47,112,2285470,1156503,7,2452,4,0,0,0,0,292,728810,0,35,529195,1734501,0,1041,7,10,master
129,63,66,206,5174716,2200253,10,5176,6,0,0,0,0,563,1250930,0,40,1248551,3864400,0,1712,10,10,master
45,19,26,62,1458338,711564,4,1148,3,0,0,0,0,206,421215,0,11,236261,1203422,0,563,4,10,master
78,31,47,112,1941598,1344914,8,1840,6,0,0,0,0,425,745098,0,26,461368,1460679,0,1165,8,12,master
29,11,18,58,992745,450164,9,815,1,1,0,0,0,122,284163,0,9,211209,771477,0,462,9,10,master
59,23,36,98,2849575,779901,9,3559,7,0,0,0,0,157,554186,0,32,529211,2297833,0,731,9,9,master
