totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
16,1,15,64,1811828,271792,11,1798,5,0,0,0,0,63,199454,0,8,196369,1608976,0,236,11,8,platinum
17,5,12,38,894973,241292,6,902,2,0,0,0,0,50,165098,0,7,112285,776677,0,219,6,7,diamond
355,170,185,1125,27766226,6306459,15,22631,64,1,0,0,0,2000,3684687,0,137,2896273,24714228,0,4296,15,14,diamond
625,281,344,2874,78115333,13006996,22,105845,187,19,0,0,0,2605,7119213,0,553,7234015,70287758,0,6117,22,12,diamond
128,48,80,499,11559974,2254252,15,10239,21,0,0,0,0,843,1538129,0,87,991517,10492907,0,2022,15,15,gold
25,8,17,65,1756781,288614,6,1947,6,0,0,0,0,71,250420,0,12,230236,1512352,0,286,6,8,gold
30,10,20,78,1002084,420343,7,972,0,0,0,0,0,133,269699,0,10,173985,810850,0,385,7,11,gold
106,43,63,537,16460713,2526107,16,21000,32,4,0,0,0,384,1269861,0,82,1464137,14940516,0,1090,16,10,master
51,21,30,128,2531160,856059,10,2732,5,0,0,0,0,172,519851,0,11,319016,2197766,0,707,10,7,master
21,6,15,80,2217870,376017,8,3108,5,1,0,0,0,65,220333,0,22,231567,1976731,0,226,8,6,master
304,119,185,904,16114863,5071537,13,13361,26,1,0,0,0,1306,3129684,0,169,1735886,14297878,0,4382,13,15,master
91,45,46,202,4287800,1310745,8,4381,7,0,0,0,0,286,829642,0,32,426003,3828878,0,1040,8,12,master
62,26,36,143,3832475,1114473,8,4870,6,1,0,0,0,291,629765,0,37,475612,3338316,0,858,8,10,master
433,176,257,1069,23247462,5472889,10,24468,46,1,0,0,0,1405,4321464,0,189,2483017,20510206,0,5373,10,10,master
293,123,170,869,27472871,4543960,15,28607,50,4,0,0,0,1148,3123068,0,164,2292867,25113642,0,3207,15,12,master
75,35,40,152,4088419,1343174,8,3451,10,0,0,0,0,327,763135,0,48,511182,3555619,0,931,8,9,master
38,10,28,190,5627414,954272,10,6976,6,0,0,0,0,160,477635,0,27,541371,5066237,0,441,10,10,master
70,24,46,226,5754752,1285895,14,6572,6,0,0,0,0,290,745650,0,41,552554,5160436,0,864,14,10,master
18,7,11,57,1752719,343066,8,1846,3,1,1,0,0,103,193029,0,11,202348,1542232,0,233,8,12,master
145,55,90,688,19993976,2651935,15,26435,40,2,1,0,0,451,1710500,0,110,2242668,17630096,0,1494,15,11,master
2,1,1,8,235898,39268,6,150,0,0,0,0,0,8,27522,0,0,16823,218272,0,39,6,5,silver
2,0,2,15,271417,30083,9,337,2,1,0,0,0,5,24441,0,2,39785,230718,0,28,9,4,bronze
