totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
44,18,26,228,4802321,1147892,12,6188,21,0,0,0,0,231,506349,0,31,880588,3861065,0,542,12,10,platinum
76,31,45,171,4056652,1638634,7,4980,6,0,0,0,0,280,767098,0,23,994487,2616050,0,1045,7,10,platinum
66,26,40,281,6077037,1541618,11,9034,14,1,0,0,0,285,688265,0,27,1292070,4748470,0,735,11,11,platinum
19,6,13,90,2096480,459886,9,2912,9,2,0,0,0,78,224202,0,15,465887,1566025,0,208,9,9,platinum
43,26,17,83,2450690,1111516,7,3383,0,0,0,0,0,245,434958,0,12,656925,1531302,0,539,7,13,platinum
76,26,50,270,8013329,1812539,10,11164,16,1,0,0,0,273,863935,0,65,1579572,6174760,0,739,10,9,platinum
110,64,46,471,13320344,3249718,12,11827,30,1,0,0,0,601,1296474,0,56,3223543,9563851,0,1024,12,13,platinum
7,3,4,12,680069,197374,5,311,1,0,0,0,0,38,71827,0,4,197867,401407,0,89,5,8,platinum
15,4,11,51,1503438,278275,10,2384,3,0,0,0,0,54,144917,0,10,363589,1131634,0,114,10,7,diamond
79,29,50,167,4213518,1858357,11,4879,7,0,0,0,0,465,738834,0,23,995976,2782862,0,910,11,14,diamond
27,11,16,71,1140390,510782,8,1426,4,0,0,0,0,103,241064,0,8,269080,769363,0,303,8,10,diamond
20,5,15,92,2519207,443830,9,4116,5,0,0,0,0,77,247473,0,22,648592,1846526,0,201,9,9,diamond
69,29,40,208,5720067,1678686,7,4542,9,1,0,0,0,393,661529,0,36,1215827,4117343,0,756,7,14,diamond
26,9,17,59,1167271,486079,5,1592,3,1,0,0,0,101,250541,0,3,234829,799940,0,289,5,10,gold
7,1,6,14,334570,172998,4,368,0,0,0,0,0,37,72666,0,2,82442,206336,0,123,4,9,gold
5,2,3,24,587286,128070,10,816,0,0,0,0,0,27,59906,0,3,169377,413184,0,56,10,9,gold
69,30,39,342,8969307,1490288,15,13002,24,2,0,0,0,211,846188,0,58,2160269,6726930,0,667,15,7,gold
2,0,2,11,137379,67718,6,142,0,0,0,0,0,17,30174,0,1,46578,63628,0,54,6,11,gold
21,8,13,75,2042213,409059,13,3188,4,0,0,0,0,79,210091,0,7,447280,1581178,0,174,13,8,master
123,50,73,512,14408836,2729613,13,24524,40,3,1,0,0,465,1451243,0,96,2675231,11674387,0,1198,13,9,master
132,50,82,678,15201649,2601561,14,21992,53,7,1,0,0,585,1476630,0,102,3169818,11942775,0,1299,14,11,master
29,13,16,58,1372930,593434,6,1750,3,0,0,0,0,111,277451,0,10,335471,874736,0,328,6,7,master
58,8,50,206,5335280,895433,11,2362,15,1,1,0,0,124,492247,0,32,1374115,3557448,0,506,11,8,master
66,35,31,93,2457585,1488249,5,3465,3,0,0,0,0,365,545130,0,20,568879,1527517,0,648,5,12,master
92,35,57,342,11162002,2201481,13,16769,17,3,0,0,0,420,1037073,0,65,3000874,8080431,0,785,13,9,master
50,19,31,156,5856333,1151889,9,8510,7,1,0,0,0,237,567142,0,20,1137176,4678456,0,550,9,10,master
53,24,29,172,4836994,1184625,10,7029,4,1,0,0,0,237,565450,0,23,1012381,3725391,0,556,10,10,master
18,4,14,48,1471716,375082,6,2105,1,0,0,0,0,79,180383,0,14,340107,1082035,0,216,6,9,master
