totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
64,27,37,293,8487498,1927485,14,2833,24,2,1,0,0,333,751461,0,22,1272955,6263468,0,755,14,13,platinum
148,76,72,543,18317801,4298126,12,7565,35,3,0,0,0,780,1717059,0,75,2730138,13720242,0,1685,12,14,platinum
26,7,19,147,3509296,865989,13,1069,7,0,0,0,0,146,327334,0,6,509515,2686561,0,378,13,12,platinum
14,6,8,67,2112997,401461,16,608,6,0,0,0,0,76,169734,0,7,278071,1678205,0,143,16,12,diamond
4,3,1,12,324806,114058,5,120,0,0,0,0,0,20,39606,0,0,51155,254353,0,45,5,9,gold
33,10,23,172,5594080,1034304,15,1344,9,0,0,0,0,90,426004,0,7,744156,4293419,0,488,15,6,gold
10,4,6,38,994611,239016,8,328,2,0,0,0,0,49,96908,0,0,173643,701833,0,92,8,9,gold
51,19,32,373,9313058,1572369,20,3255,48,13,5,0,0,187,695411,0,26,1239517,7256670,0,533,20,11,master
39,20,19,169,5100184,1277935,10,1766,12,2,0,0,0,223,441068,0,16,779406,3920895,0,404,10,11,master
66,28,38,311,8252048,1882057,15,2745,27,3,0,0,0,258,747442,0,23,1188286,6370303,0,651,15,11,master
119,61,58,804,18177726,3455454,18,5934,89,10,1,0,0,682,1466226,0,42,2541839,14403692,0,971,18,16,master
1864,864,1000,9415,316116258,66000821,22,102527,750,74,1,0,0,10533,23074862,0,956,48504655,243791601,0,17992,22,16,master
8,3,5,46,1324978,281066,10,480,5,0,0,0,0,38,108678,0,0,181413,1011141,0,108,10,10,master
63,16,47,400,10411917,2443788,18,3703,30,0,0,0,0,345,866835,0,29,1607696,8178041,0,826,18,16,silver
48,19,29,195,5705733,1561341,13,1801,17,2,0,0,0,219,547723,0,23,901094,4202091,0,556,13,12,silver
10,5,5,54,1504185,335127,9,561,3,0,0,0,0,45,135056,0,4,236320,1118729,0,104,9,6,silver
35,13,22,203,4393870,1006003,16,1817,12,1,0,0,0,255,410473,0,12,677067,3339943,0,367,16,11,silver
8,3,5,61,1152468,323791,13,423,4,1,0,0,0,54,111930,0,4,171967,890578,0,131,13,10,silver
9,5,4,49,983581,258696,10,385,3,0,0,0,0,42,95881,0,3,177837,718134,0,99,10,9,silver
29,11,18,164,3187853,815080,16,1068,15,0,0,0,0,134,333587,0,6,596486,2299715,0,378,16,10,silver
3,2,1,14,515339,106687,7,158,2,0,0,0,0,21,40158,0,1,95866,379338,0,39,7,8,silver
12,4,8,81,2062689,392683,14,776,7,0,0,0,0,75,158741,0,4,266960,1645235,0,150,14,12,silver
9,3,6,60,1197075,240123,12,389,9,0,0,0,0,45,111532,0,4,190177,942130,0,122,12,7,silver
6,0,6,41,901540,243214,10,431,4,0,0,0,0,43,86546,0,3,156475,670100,0,116,10,13,bronze
3,1,2,27,530840,146648,12,211,4,0,0,0,0,21,45186,0,2,88538,405461,0,51,12,8,bronze
9,3,6,42,967697,254885,12,265,3,0,0,0,0,35,98244,0,11,176501,701576,0,120,12,7,bronze
3,1,2,14,232754,85207,6,67,1,0,0,0,0,25,33668,0,1,45233,164080,0,32,6,11,bronze
12,4,8,66,1559306,411033,12,674,4,1,0,0,0,66,149526,0,4,233378,1212489,0,175,12,9,bronze
