totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
6,3,3,44,998596,143068,13,1188,7,1,0,0,0,33,78322,0,0,29837,967022,0,64,13,8,gold
16,9,7,100,2496438,445014,12,1383,13,0,0,0,0,130,186815,0,5,135046,2254505,0,122,12,14,master
5,2,3,62,1017001,86159,21,1159,6,1,0,0,0,15,82451,0,2,15920,997904,0,59,21,8,bronze
53,17,36,547,7097529,1144192,22,7591,76,14,0,0,0,377,684128,0,36,402993,6682875,0,530,22,18,bronze
116,52,64,1216,14198312,2626805,24,15738,154,27,3,0,0,965,1524736,0,62,499768,13658846,0,1418,24,18,bronze
