totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
70,32,38,167,2535512,1348319,9,3576,9,0,0,0,0,286,671405,0,24,855334,1159236,0,879,9,12,diamond
41,13,28,49,1225338,840999,5,1625,1,0,0,0,0,179,382343,0,15,403174,546152,0,606,5,10,diamond
45,18,27,39,939272,1041881,4,1609,1,0,0,0,0,240,428818,0,13,355541,340695,0,760,4,11,diamond
1,1,0,0,40263,16154,0,81,0,0,0,0,0,6,8053,0,0,11296,26198,0,3,0,6,gold
120,52,68,136,3831369,2223145,5,6718,3,0,0,0,0,455,1127552,0,53,1335879,1826649,0,1559,5,13,challenger
56,20,36,65,1291796,1152092,6,2098,2,0,0,0,0,249,498578,0,14,419789,626345,0,850,6,12,challenger
18,9,9,81,2392253,490295,10,3543,7,1,1,1,0,83,220353,0,12,688323,1701038,0,132,10,10,master
7,6,1,4,115857,113940,2,84,0,0,0,0,0,43,45645,0,1,31412,79116,0,68,2,8,silver
4,2,2,5,76498,89957,2,135,0,0,0,0,0,31,32090,0,0,31810,24315,0,40,2,10,silver
11,6,5,22,364841,345068,4,406,0,0,0,0,0,104,117846,0,4,153356,160270,0,177,4,12,bronze
41,21,20,56,958086,784371,5,948,2,0,0,0,0,155,406248,0,6,468023,467517,0,547,5,8,bronze
14,6,8,13,317167,252642,3,585,1,0,0,0,0,22,118321,0,4,117554,91502,0,175,3,5,bronze
2,1,1,4,102879,61761,3,125,0,0,0,0,0,16,21601,0,1,31989,58174,0,15,3,12,bronze
6,4,2,26,285964,272450,8,178,2,1,0,0,0,66,77525,0,5,108120,177403,0,104,8,14,bronze
