totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
80,40,40,652,10473183,1553753,21,14441,90,17,2,0,0,441,1015678,0,125,8385230,859413,0,503,21,12,platinum
32,9,23,252,4103202,535604,18,5604,33,2,0,0,0,136,408433,0,71,3422555,368879,0,241,18,13,platinum
27,10,17,209,3914654,605263,22,5077,27,9,0,0,0,182,367122,0,35,3312781,219648,0,207,22,13,platinum
16,11,5,108,2091870,313062,21,3023,13,3,1,0,0,73,198722,0,16,1682572,138571,0,95,21,10,platinum
39,24,15,310,5372383,772658,21,7462,45,10,1,0,0,228,503224,0,41,4529376,259967,0,220,21,12,platinum
78,39,39,619,9821397,1670713,25,14468,93,9,1,0,0,499,1020732,0,97,8426343,146225,0,415,25,12,platinum
44,26,18,395,6615638,859177,20,8891,59,18,2,2,0,214,591994,0,59,5165417,575006,0,208,20,10,platinum
122,64,58,822,14261514,2617564,21,20831,106,18,2,0,0,888,1449112,0,136,12434366,198345,0,756,21,15,platinum
44,19,25,376,6148809,948569,20,8140,61,15,3,1,0,324,580566,0,72,5223161,327069,0,244,20,14,platinum
42,20,22,400,7601644,898286,23,8732,70,25,7,1,0,259,594283,0,61,5010544,1879895,0,229,23,14,platinum
43,26,17,359,6104012,914755,22,8484,60,9,2,1,0,260,571400,0,49,4890338,455501,0,263,22,12,platinum
42,18,24,311,6853450,803026,16,9030,50,10,2,0,0,222,566620,0,70,5031327,1326183,0,251,16,11,platinum
27,12,15,198,2212612,415687,22,3716,22,2,0,0,0,162,285133,0,36,1824574,117049,0,178,22,12,platinum
21,9,12,179,3269643,413430,21,4259,30,7,1,1,0,115,279220,0,39,2721085,168508,0,125,21,11,platinum
90,45,45,732,11673434,1560356,20,16664,94,20,5,1,0,423,1138293,0,104,8930295,1529638,0,570,20,11,platinum
53,26,27,402,9154964,1209914,18,11243,58,10,2,1,0,312,741935,0,74,6328387,1863341,0,346,18,11,platinum
26,13,13,154,2848803,428511,15,4600,26,5,1,0,0,127,289426,0,36,2335196,122212,0,90,15,12,diamond
