totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
11,5,6,102,1781107,417180,20,2173,11,3,0,0,0,53,156797,0,17,1466233,259590,0,67,20,7,platinum
47,19,28,392,8064525,1829154,18,10694,32,3,0,0,0,338,676264,0,85,6323513,1601419,0,343,18,12,platinum
89,45,44,593,10227376,2612834,16,16253,45,2,0,0,0,379,1069268,0,119,8007543,1960252,0,497,16,12,diamond
31,16,15,193,4489364,1035706,14,6842,13,2,0,0,0,151,394758,0,38,3107836,1321197,0,182,14,12,diamond
21,5,16,165,3227550,724277,14,4075,11,2,0,0,0,88,280222,0,39,2407681,755955,0,117,14,11,gold
106,44,62,718,13973772,3612034,21,20093,37,3,0,0,0,689,1342659,0,133,13282324,358170,0,671,21,19,gold
6,2,4,26,510937,128900,8,726,2,0,0,0,0,31,56252,0,10,392352,113628,0,28,8,7,gold
48,23,25,392,6565106,1445432,19,7586,24,5,1,0,0,270,616899,0,91,6034932,327307,0,309,19,13,gold
25,12,13,158,3106512,772060,15,4970,11,2,0,0,0,96,305845,0,38,2887667,169378,0,112,15,8,gold
15,7,8,131,2607069,499758,17,3770,13,3,0,0,0,60,224586,0,27,1991029,553574,0,78,17,10,gold
99,42,57,708,17119362,3297450,20,22168,51,5,1,0,0,500,1401942,0,194,12221059,4478823,0,630,20,11,gold
20,9,11,142,3505948,680670,14,4876,13,2,0,0,0,46,292242,0,38,2512908,910782,0,104,14,6,gold
35,18,17,258,5441289,1310061,15,6849,17,2,0,0,0,222,471625,0,55,4001656,1329803,0,290,15,12,gold
19,13,6,112,2884148,655107,14,4383,7,0,0,0,0,90,250444,0,34,2300689,513624,0,89,14,8,master
59,29,30,423,8530015,2136821,17,10757,22,2,0,0,0,298,757680,0,102,6959273,1374284,0,285,17,13,silver
2,2,0,5,236756,55157,3,345,0,0,0,0,0,10,21639,0,1,170629,65093,0,8,3,6,silver
22,13,9,119,2742904,884357,10,3624,9,0,0,0,0,140,266145,0,26,2077127,572810,0,164,10,12,silver
2,1,1,16,328717,62601,9,383,1,0,0,0,0,4,26520,0,4,281738,42296,0,16,9,2,silver
3,1,2,22,438590,84292,10,642,1,0,0,0,0,14,41246,0,9,360912,69724,0,17,10,8,silver
183,83,100,1228,21625757,6310322,20,32689,77,10,1,0,0,940,2299121,0,244,17113142,3962703,0,1224,20,13,silver
63,32,31,380,6762498,2037532,14,9000,31,2,0,0,0,369,733617,0,84,5846185,759950,0,414,14,14,silver
18,9,9,131,2125786,510175,14,2967,12,1,0,0,0,78,221404,0,26,1459368,604058,0,164,14,7,silver
15,8,7,86,1997017,529187,13,2354,4,0,0,0,0,129,182487,0,13,1349324,602910,0,100,13,17,bronze
34,17,17,264,4718925,1220764,27,5452,26,5,2,0,0,311,435423,0,57,3476068,1167910,0,170,27,17,bronze
3,0,3,30,466559,115034,16,498,3,1,0,0,0,24,42452,0,4,411845,37370,0,21,16,9,bronze
9,4,5,62,1127304,262243,14,1370,4,1,0,0,0,37,110804,0,15,867399,237160,0,65,14,8,bronze
6,3,3,51,605855,174508,14,856,4,0,0,0,0,25,68561,0,3,474299,119865,0,38,14,7,bronze
40,14,26,344,5653673,1520092,18,4283,37,4,0,0,0,226,519939,0,59,4295278,1028169,0,335,18,20,bronze
6,2,4,47,835651,204040,14,1022,5,0,0,0,0,29,76802,0,9,648681,170532,0,57,14,9,bronze
5,4,1,35,821113,207180,16,986,3,0,0,0,0,25,68280,0,4,659248,152407,0,42,16,9,bronze
4,3,1,14,359651,90389,5,481,1,0,0,0,0,24,35034,0,5,347796,5790,0,10,5,10,bronze
