totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
101,43,58,921,16427548,2622757,23,19802,100,12,1,0,0,693,1390111,0,107,1911574,14394929,0,972,23,14,platinum
17,7,10,115,2221638,308803,12,2946,13,3,0,0,0,77,200559,0,8,210823,1995721,0,145,12,8,platinum
101,41,60,1114,12978807,2621578,23,14149,90,8,0,0,0,909,1334773,0,79,1332181,11460738,0,1115,23,17,platinum
25,12,13,155,4020707,474933,15,5406,11,0,0,0,0,137,310301,0,14,277081,3718284,0,173,15,11,platinum
109,43,66,761,16238029,2699212,18,20761,63,4,0,0,0,722,1390155,0,114,1239419,14871509,0,984,18,16,diamond
14,7,7,98,2298047,316535,14,2774,10,2,0,0,0,82,184827,0,7,198656,2085381,0,109,14,9,diamond
1,1,0,1,61190,11338,1,117,0,0,0,0,0,4,6003,0,0,8351,52611,0,1,1,4,gold
43,22,21,349,6550612,807618,22,8793,26,5,0,0,0,245,541565,0,20,438347,6086589,0,335,22,12,challenger
199,95,104,999,18216880,3520115,16,21673,72,7,0,0,0,1163,2335557,0,90,1022166,17067168,0,2184,16,13,master
29,9,20,295,4283101,572816,16,5674,27,2,0,0,0,183,385793,0,17,282373,3969345,0,245,16,15,master
64,34,30,445,11176257,1364126,19,14371,27,3,0,0,0,435,857636,0,36,426256,10704946,0,540,19,16,master
238,102,136,1878,33914245,4441183,29,44266,192,22,3,1,0,1236,2983828,0,198,2268478,31396559,0,2218,29,13,master
67,36,31,344,10041378,1737889,15,8630,24,2,1,0,0,443,804895,0,46,845228,8796216,0,630,15,13,master
69,29,40,556,11931900,1161327,19,14954,59,4,0,0,0,290,947250,0,65,761797,11054789,0,580,19,10,master
39,19,20,289,5922173,827252,17,7222,21,2,0,0,0,255,493535,0,33,387611,5503833,0,345,17,17,master
36,12,24,234,5922918,576424,14,7835,23,0,0,0,0,127,456570,0,41,354620,5539074,0,310,14,12,master
