totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
19,7,12,130,3019850,414156,19,4122,12,5,0,0,0,121,257074,0,42,2655850,341414,0,131,19,13,diamond
81,40,41,490,10932734,1459303,24,14892,43,5,1,0,0,315,947712,0,132,9576351,1296944,0,527,24,9,diamond
20,8,12,217,3169414,429720,17,3759,20,5,0,0,0,127,267279,0,40,2732295,399643,0,92,17,15,gold
19,9,10,100,2712108,399240,12,3732,11,0,0,0,0,79,232018,0,33,2246037,449050,0,145,12,11,gold
231,95,136,1975,38210280,5087175,24,47783,213,39,8,2,0,1333,3193361,0,486,32387100,5519307,0,1452,24,13,gold
30,7,23,210,4072527,527721,23,5256,23,4,0,0,0,98,365037,0,52,3460261,575883,0,245,23,9,challenger
284,134,150,1894,39482358,5885825,20,55087,206,30,1,0,0,1391,3468863,0,454,34746117,4497602,0,1913,20,11,challenger
81,25,56,569,11754602,1726554,19,15129,63,11,1,0,0,348,1007533,0,160,9916810,1695472,0,608,19,15,challenger
34,12,22,206,4477740,726247,12,6433,19,3,0,0,0,117,405924,0,63,3638141,794568,0,233,12,10,challenger
79,31,48,534,12365250,1750643,20,16044,53,12,0,0,0,476,1011428,0,167,10525531,1722785,0,540,20,14,challenger
81,35,46,563,10687591,1730828,18,15207,63,5,0,0,0,363,983290,0,127,8904855,1700519,0,669,18,10,challenger
36,12,24,334,5374869,834485,25,6418,31,5,1,0,0,262,474412,0,69,4688391,635046,0,267,25,14,challenger
57,23,34,400,7919686,1196556,18,10270,46,9,1,0,0,307,688640,0,113,6847222,1021198,0,420,18,13,challenger
54,21,33,349,8857599,1226886,16,11404,44,2,0,0,0,218,713578,0,101,7208988,1608880,0,425,16,9,challenger
28,9,19,190,3550110,541502,14,4474,22,4,1,0,0,135,317780,0,56,3072011,424578,0,201,14,11,challenger
49,19,30,370,7220303,1070672,19,9191,47,9,0,0,0,259,615557,0,97,6213595,922900,0,333,19,11,challenger
121,52,69,1146,19852939,2446675,23,22646,139,30,3,1,0,717,1606189,0,209,17208740,2471622,0,850,23,12,challenger
9,5,4,58,1281516,243662,13,608,3,0,0,0,0,74,105709,0,10,978783,224505,0,85,13,15,master
42,12,30,364,5979653,872029,20,8074,44,9,1,0,0,212,546302,0,86,5234973,686797,0,265,20,12,master
41,15,26,290,5523961,762308,21,7689,35,6,2,0,0,205,484669,0,74,4799756,684294,0,206,21,12,master
70,23,47,429,9385668,1195593,20,12477,49,5,1,0,0,313,823260,0,118,8306504,1002209,0,466,20,12,master
941,453,488,7488,122768042,15456292,25,161104,810,137,11,3,0,4556,11451767,0,1419,109118957,12100234,0,5529,25,14,master
15,7,8,122,1844104,275696,23,2492,15,0,0,0,0,78,171827,0,26,1514875,299816,0,84,23,14,master
36,16,20,330,5760279,931621,18,7134,35,7,2,1,0,261,502005,0,83,4956398,754424,0,322,18,14,master
83,32,51,666,14241801,1927850,21,17842,57,9,2,0,0,496,1121406,0,201,12070129,2020228,0,516,21,14,master
19,6,13,185,3373725,428699,24,4315,16,4,0,0,0,110,270162,0,45,2867772,475795,0,121,24,12,master
43,20,23,298,7273713,1033779,16,9591,29,3,0,0,0,230,577991,0,67,6430689,794123,0,279,16,10,master
16,9,7,104,2277727,347500,15,3081,8,1,0,0,0,87,198972,0,40,1934480,323482,0,107,15,10,master
33,14,19,250,4672110,667714,16,6048,34,5,1,0,0,220,423267,0,57,4041296,589965,0,210,16,12,master
34,11,23,241,4866305,675331,22,6474,26,4,1,0,0,190,433681,0,75,4346473,478717,0,248,22,17,master
25,13,12,207,4096477,481785,19,5109,22,3,0,0,0,115,336467,0,47,3443491,618765,0,183,19,8,master
280,111,169,2188,42845252,5273060,21,54189,225,45,7,1,0,1727,3630435,0,603,37878956,4433368,0,1760,21,16,master
23,10,13,135,3229125,525351,14,4260,13,2,0,0,0,137,280132,0,54,2738773,466519,0,150,14,12,master
45,21,24,301,6676185,1070546,21,6968,34,7,1,0,0,233,540786,0,61,5395591,1134379,0,292,21,12,master
47,23,24,342,8473962,1004064,18,10147,37,5,1,0,0,292,659075,0,61,7554431,855360,0,406,18,15,master
13,2,11,172,2136344,253945,23,2621,19,7,2,0,0,64,194378,0,32,1821909,283659,0,81,23,11,master
294,108,186,2605,36153924,5728982,29,49030,259,33,7,0,0,1550,3606675,0,610,31456720,4300913,0,1932,29,16,master
106,46,60,636,12306671,2190453,19,17299,62,5,1,0,0,591,1189255,0,136,10516497,1708490,0,809,19,13,master
75,28,47,565,10243494,1651204,17,14387,61,6,3,1,0,415,964064,0,122,8816873,1334283,0,603,17,12,master
63,35,28,371,8149380,1217773,19,11419,41,2,0,0,0,377,729660,0,102,7237677,863451,0,379,19,12,master
5,3,2,72,785193,107007,19,959,11,1,0,0,0,43,72644,0,11,668572,112062,0,27,19,11,silver
26,11,15,165,4130185,781819,15,4923,18,1,0,0,0,233,365090,0,37,3520235,587413,0,212,15,18,bronze
