totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
24,11,13,92,3144918,402373,8,4632,9,1,0,0,0,68,281599,0,22,811924,2323890,0,201,8,6,platinum
24,8,16,110,2973322,550202,12,4682,10,3,1,0,0,95,291794,0,22,910770,2052047,0,207,12,10,platinum
8,2,6,62,1154646,235758,13,1390,2,0,0,0,0,38,111599,0,7,319617,830566,0,100,13,9,platinum
47,23,24,222,6040200,1195537,10,8953,14,0,0,0,0,237,555283,0,52,2034799,3977328,0,356,10,9,diamond
10,6,4,38,1116500,225699,7,1634,2,0,0,0,0,45,110311,0,6,227011,884533,0,82,7,9,diamond
206,94,112,746,19377509,4443536,14,33088,50,6,0,0,0,831,2149912,0,142,4137877,15172219,0,1689,14,10,diamond
97,42,55,523,12063379,2248721,12,18857,39,6,0,0,0,453,1188253,0,71,3694888,8319317,0,973,12,10,diamond
41,20,21,182,4237336,978469,13,7114,9,0,0,0,0,188,453810,0,24,1114585,3105737,0,313,13,10,diamond
24,10,14,81,3420893,528017,10,5969,4,1,0,0,0,121,304367,0,32,1028995,2381293,0,187,10,11,diamond
29,20,9,70,2582028,609918,11,3728,5,0,0,0,0,177,286864,0,21,781647,1764154,0,213,11,10,diamond
2,2,0,8,154137,52172,5,228,0,0,0,0,0,20,21137,0,2,47020,104347,0,17,5,10,gold
43,14,29,208,4000136,939149,10,5540,12,1,0,0,0,213,477212,0,40,1398076,2575219,0,430,10,11,gold
10,4,6,33,1182112,262366,6,1406,1,0,0,0,0,45,113056,0,5,354444,781674,0,80,6,9,gold
80,30,50,327,9796528,1465510,13,16146,30,4,1,0,0,188,915973,0,58,2769449,6976635,0,612,13,9,master
188,87,101,833,20766853,4337211,17,33361,68,2,0,0,0,600,2043899,0,130,5356898,15322205,0,1392,17,11,master
23,7,16,111,2410936,463430,11,4077,5,1,0,0,0,92,256064,0,18,808468,1592257,0,159,11,8,master
72,29,43,309,9147373,1741357,17,13160,24,1,0,0,0,395,878557,0,64,3311003,5767703,0,701,17,12,master
35,17,18,113,4258235,754246,9,7116,9,1,0,0,0,118,388365,0,18,1438985,2798969,0,199,9,7,master
81,29,52,440,9216322,1901735,13,12388,35,2,0,0,0,326,960873,0,39,2674433,6399850,0,766,13,11,master
64,27,37,273,7070926,1395234,11,12326,22,2,0,0,0,202,712012,0,41,2228591,4800480,0,502,11,8,master
15,9,6,32,1380317,286056,8,2399,1,0,0,0,0,65,150185,0,1,431811,944945,0,116,8,7,master
40,14,26,218,4719076,909211,12,7269,18,1,0,0,0,190,465957,0,32,1369064,3316886,0,386,12,12,master
21,7,14,73,1921628,350169,10,3124,6,0,0,0,0,49,207849,0,11,527117,1373323,0,175,10,6,master
28,9,19,128,3176425,610344,17,4787,11,3,1,0,0,109,322681,0,14,839169,2309483,0,288,17,8,master
2,1,1,4,209712,47022,3,355,0,0,0,0,0,8,21788,0,3,57934,150876,0,15,3,6,master
20,6,14,71,2865385,414535,13,4244,5,1,0,0,0,66,241632,0,10,1019894,1839254,0,157,13,7,master
19,8,11,115,2564809,439424,15,3448,7,0,0,0,0,74,248789,0,12,1115862,1412775,0,205,15,8,silver
5,2,3,22,396751,86224,9,610,0,0,0,0,0,19,51739,0,3,139610,256559,0,52,9,5,silver
10,3,7,61,988779,189071,10,1304,6,3,1,0,0,35,118635,0,14,417308,566903,0,81,10,8,silver
16,8,8,28,1082945,387391,5,1413,1,0,0,0,0,81,166275,0,4,383491,638637,0,192,5,10,silver
7,3,4,26,645750,124803,6,980,3,1,0,0,0,22,69194,0,4,231385,410199,0,66,6,8,silver
46,20,26,259,5964591,1057799,18,7640,22,1,0,0,0,196,567411,0,37,1443632,4425381,0,498,18,12,silver
4,3,1,26,381589,64673,12,477,2,0,0,0,0,14,44026,0,0,86757,290011,0,37,12,4,silver
7,4,3,32,797041,200597,11,916,4,0,0,0,0,49,85919,0,5,185347,610511,0,81,11,10,bronze
17,8,9,120,1421536,374722,16,1397,10,2,0,0,0,97,188964,0,5,522391,868128,0,193,16,13,bronze
10,3,7,66,1253720,258711,12,1264,3,1,0,0,0,48,137109,0,12,414841,793319,0,150,12,9,bronze
3,1,2,28,244477,41021,11,315,3,1,0,0,0,6,34762,0,2,93221,149655,0,30,11,5,bronze
49,21,28,217,5025156,960654,11,4646,13,2,0,0,0,188,549781,0,23,1679963,3168499,0,532,11,11,bronze
2,1,1,5,173401,35118,3,242,0,0,0,0,0,10,20118,0,2,75362,96628,0,21,3,6,bronze
49,22,27,111,3883454,742174,7,6098,1,0,0,0,0,152,490257,0,12,1429902,2430466,0,458,7,12,bronze
8,3,5,28,267797,157065,7,246,1,0,0,0,0,51,78913,0,3,108283,150775,0,108,7,9,bronze
