totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
24,6,18,180,4441632,755442,13,1309,19,0,0,0,0,128,335399,0,34,3953660,191599,0,210,13,11,platinum
20,5,15,180,3269120,570911,16,980,19,1,0,0,0,99,273546,0,34,2881535,131146,0,191,16,11,platinum
175,67,108,1543,35772182,5988796,19,14659,183,22,2,0,0,1279,2545765,0,259,29949926,3233069,0,1366,19,14,platinum
185,71,114,1600,30902594,4847732,23,10071,182,15,2,1,0,804,2347713,0,225,27475153,1625153,0,1231,23,10,diamond
11,3,8,88,1584525,365708,12,529,7,1,0,0,0,69,138832,0,12,1401314,69076,0,113,12,12,gold
56,30,26,276,7236645,1490721,11,2677,24,0,0,0,0,252,623543,0,29,6295842,312498,0,401,11,15,gold
162,67,95,1528,29170215,3279178,22,33227,183,26,0,0,0,710,2269237,0,312,28408409,511456,0,869,22,12,gold
57,32,25,421,9984514,1574973,16,3648,28,6,1,1,0,323,743020,0,55,8923090,382115,0,362,16,12,challenger
150,58,92,1005,23844556,3943728,16,7429,100,11,0,0,0,603,1825910,0,184,21137100,877001,0,1033,16,12,master
13,3,10,81,2159484,355740,11,851,6,0,0,0,0,49,162249,0,16,1917008,89194,0,98,11,8,master
83,35,48,710,14751870,2472847,19,5716,62,8,1,0,0,400,1110791,0,106,13494525,426856,0,554,19,12,master
69,31,38,554,11558213,1812510,17,4476,57,3,2,0,0,296,861807,0,85,10689837,369849,0,350,17,12,master
52,26,26,361,9219708,1765128,18,3013,27,2,1,0,0,270,676369,0,54,8182042,347292,0,383,18,12,master
55,24,31,459,8478073,1532597,19,3680,36,4,1,0,0,293,704976,0,76,7523357,371510,0,477,19,14,master
59,24,35,507,10589563,2022466,23,4183,48,6,0,0,0,313,814277,0,92,9495139,333015,0,486,23,11,master
27,11,16,224,4117374,685020,17,1723,21,3,0,0,0,131,335089,0,28,3705096,158228,0,179,17,13,master
30,12,18,257,5168039,935028,16,2140,27,2,0,0,0,146,397646,0,30,4637989,160939,0,198,16,12,master
39,15,24,283,7002770,1024066,22,2714,36,0,0,0,0,161,505719,0,42,6152049,306740,0,257,22,12,silver
21,13,8,142,3884223,573582,15,2107,14,0,0,0,0,118,275999,0,35,3374630,266479,0,86,15,11,silver
97,39,58,931,16793593,3168078,26,6410,108,7,3,0,0,606,1327332,0,128,13824937,1904752,0,585,26,14,silver
14,10,4,77,1419533,343392,10,360,8,1,0,0,0,93,145039,0,7,1165073,126965,0,84,10,12,bronze
