totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
74,31,43,113,2074959,1606663,6,3346,6,0,0,0,0,279,731872,0,20,665382,860012,0,1166,6,9,platinum
52,20,32,93,1432030,1469230,5,2427,0,0,0,0,0,302,517098,0,17,491937,557118,0,917,5,11,platinum
53,19,34,74,1391071,1338139,5,2049,2,0,0,0,0,269,488487,0,5,453149,626284,0,809,5,12,platinum
104,56,48,133,2380983,2397632,5,4024,5,0,0,0,0,381,970942,0,29,871546,978018,0,1412,5,10,platinum
70,36,34,80,2069526,1901216,4,3181,1,0,0,0,0,445,683837,0,17,657808,902707,0,1149,4,13,platinum
30,14,16,43,859981,795603,6,1422,0,0,0,0,0,172,290875,0,12,289406,368160,0,424,6,10,platinum
41,22,19,60,1099126,1055871,6,1748,0,0,0,0,0,240,380638,0,9,382659,457582,0,601,6,11,platinum
2,2,0,0,53053,53872,0,97,0,0,0,0,0,8,19426,0,0,13362,28865,0,23,0,6,platinum
83,35,48,80,2151825,1869849,4,3897,2,0,0,0,0,279,764794,0,9,679619,821503,0,1174,4,9,diamond
16,7,9,17,418833,455760,3,828,0,0,0,0,0,85,164689,0,5,129579,175801,0,319,3,11,diamond
24,13,11,21,395075,444506,3,668,0,0,0,0,0,108,199630,0,1,142261,166278,0,282,3,10,diamond
37,14,23,59,986701,909016,5,1673,1,0,0,0,0,178,353754,0,8,334255,386967,0,605,5,12,diamond
118,57,61,149,2755096,3060573,6,4831,1,0,0,0,0,580,1035785,0,23,885334,1160993,0,1712,6,11,diamond
14,7,7,18,308543,301326,2,551,0,0,0,0,0,76,122142,0,1,105313,127859,0,187,2,10,diamond
38,14,24,47,833060,860512,4,1396,0,0,0,0,0,152,359103,0,9,266023,368197,0,670,4,9,diamond
39,18,21,68,860331,869746,6,1413,3,0,0,0,0,229,349809,0,3,313451,371559,0,555,6,14,diamond
28,12,16,73,852485,759651,8,1600,5,0,0,0,0,144,289513,0,6,311139,388907,0,471,8,9,gold
16,5,11,31,511068,526963,4,670,0,0,0,0,0,98,168936,0,4,175877,216851,0,314,4,11,gold
21,8,13,31,569989,511398,6,920,1,0,0,0,0,90,200100,0,7,208041,188844,0,305,6,10,gold
3,2,1,4,92842,66111,2,184,0,0,0,0,0,12,27538,0,0,31853,31343,0,29,2,6,gold
6,2,4,12,171841,114976,5,239,1,0,0,0,0,27,53232,0,3,70492,80819,0,87,5,6,gold
70,26,44,120,2000615,1663166,5,2632,3,0,0,0,0,301,716216,0,19,578265,1006875,0,1263,5,13,gold
43,17,26,81,1130882,920948,8,1460,2,0,0,0,0,192,405168,0,17,326716,606577,0,639,8,10,gold
26,17,9,22,504029,634187,4,646,0,0,0,0,0,137,225815,0,7,168430,227510,0,313,4,11,gold
130,58,72,126,2490538,2452769,6,5062,3,0,0,0,0,410,1177260,0,31,736822,1091877,0,1748,6,10,challenger
64,31,33,80,1569798,1365405,5,2812,0,0,0,0,0,236,543511,0,10,547186,602794,0,824,5,9,challenger
20,11,9,21,390869,349600,3,598,0,0,0,0,0,84,153171,0,3,115987,178615,0,220,3,10,challenger
132,57,75,227,2982429,2815943,6,5938,4,0,0,0,0,496,1182443,0,19,867721,1155335,0,1966,6,11,challenger
32,12,20,36,790774,728647,5,1380,0,0,0,0,0,150,281253,0,9,261922,327271,0,475,5,9,challenger
100,35,65,145,2336841,2097910,6,3576,6,0,0,0,0,404,898554,0,31,770329,1057411,0,1493,6,12,challenger
24,10,14,13,481499,497369,2,860,0,0,0,0,0,85,194898,0,3,163182,212886,0,326,2,8,challenger
198,86,112,230,4440153,4300489,5,8486,6,1,0,0,0,885,1638911,0,48,1578672,1643845,0,2758,5,15,challenger
55,23,32,92,1250684,1287041,5,2039,2,0,0,0,0,310,493187,0,2,436412,491510,0,877,5,12,challenger
