totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
21,8,13,179,3476137,524789,18,1252,19,2,0,0,0,102,283488,0,18,612766,2588895,0,192,18,12,platinum
69,31,38,472,9068577,1820425,17,2602,26,3,1,0,0,470,833395,0,52,1697748,6578448,0,644,17,11,platinum
22,9,13,103,2925333,541218,10,801,8,0,0,0,0,106,252659,0,13,579006,2087527,0,170,10,9,platinum
68,29,39,445,10043788,1816582,14,2513,34,2,0,0,0,377,848304,0,29,2185232,7060887,0,559,14,13,platinum
8,5,3,61,1364393,244679,11,358,6,0,0,0,0,47,108604,0,6,278291,987607,0,61,11,13,platinum
37,15,22,219,4332479,858693,12,1449,14,0,0,0,0,221,401592,0,28,898038,3112562,0,294,12,13,diamond
19,11,8,140,2806970,508264,12,1017,6,1,0,0,0,89,242737,0,13,491460,2073087,0,155,12,8,diamond
23,11,12,108,3423838,635892,12,882,2,0,0,0,0,137,267461,0,10,692924,2425094,0,254,12,12,diamond
111,41,70,797,15897964,2830157,19,5072,63,4,1,0,0,493,1349101,0,127,3115380,11351511,0,971,19,10,diamond
21,9,12,117,2768454,478432,13,849,15,0,0,0,0,94,239637,0,20,583108,1946030,0,173,13,9,diamond
59,23,36,377,8067599,1185666,14,2691,33,2,0,0,0,260,672545,0,58,1721624,5727302,0,422,14,11,diamond
9,7,2,30,1017547,204251,7,375,1,0,0,0,0,40,91878,0,3,239657,664908,0,74,7,7,gold
69,28,41,437,8282415,1712326,15,2419,24,0,0,0,0,330,803270,0,41,1573795,5966296,0,722,15,12,gold
19,8,11,123,2550722,541985,14,804,9,0,0,0,0,108,235937,0,18,597755,1794369,0,173,14,11,gold
29,9,20,249,3821608,708524,25,1094,26,3,0,0,0,136,357915,0,39,797578,2679170,0,306,25,11,gold
289,144,145,1596,40261322,7252786,15,13400,93,5,1,0,0,1199,3360524,0,250,8144755,28455603,0,2289,15,10,challenger
57,24,33,440,8817270,1277077,19,3103,44,7,2,1,0,285,718125,0,67,1578895,6552978,0,386,19,19,challenger
42,9,33,355,6314178,1095876,21,1513,35,3,0,0,0,169,521905,0,30,1208633,4534357,0,332,21,12,challenger
111,47,64,778,16106633,2785850,16,4345,62,7,1,0,0,525,1322846,0,89,3005241,11942559,0,934,16,10,challenger
51,19,32,400,7483875,1327966,15,2319,39,4,0,0,0,246,635048,0,57,1504839,5468411,0,451,15,13,challenger
305,107,198,2435,45049523,7925716,23,11323,208,13,4,0,0,1353,3761849,0,198,8277220,32575036,0,2581,23,15,challenger
221,104,117,1271,25793308,4628811,17,8849,73,5,0,0,0,904,2398754,0,204,5219067,18137023,0,1754,17,13,challenger
43,18,25,311,5671353,1098087,20,1305,22,5,1,0,0,217,499712,0,47,1273111,3976752,0,351,20,14,challenger
52,21,31,402,6915080,1200202,16,1972,27,2,0,0,0,221,617294,0,38,1235189,5187616,0,402,16,12,challenger
65,33,32,460,8617098,1824160,21,2246,33,3,0,0,0,405,780119,0,53,1479741,6514712,0,528,21,15,challenger
285,136,149,2012,32920241,6892605,19,8501,115,4,0,0,0,1737,3138796,0,162,6743935,23717709,0,2348,19,16,challenger
185,89,96,1391,26438148,4753381,21,7609,100,9,0,0,0,1038,2250899,0,137,4664833,19449838,0,1536,21,14,challenger
126,46,80,863,19428615,3217824,15,6607,62,2,1,0,0,567,1568841,0,125,3569964,14321044,0,1025,15,10,challenger
317,133,184,2004,44117172,7634866,18,15186,145,8,1,0,0,1168,3803225,0,309,7651490,32958986,0,2806,18,11,challenger
19,6,13,177,2960237,515592,18,671,8,1,0,0,0,90,249123,0,16,518311,2199539,0,156,18,11,challenger
87,38,49,540,11451403,2199095,15,4197,33,3,0,0,0,411,993456,0,67,1968532,8414680,0,700,15,12,challenger
64,28,36,527,8641520,1573297,23,2234,46,7,1,1,0,284,763412,0,45,1538592,6379309,0,546,23,8,challenger
44,18,26,335,6266601,1096622,18,1887,30,6,0,0,0,192,534936,0,41,1085371,4681990,0,366,18,11,challenger
29,8,21,185,4293253,753118,11,1242,16,1,0,0,0,131,356130,0,30,848514,3124168,0,231,11,10,challenger
45,20,25,247,6088049,1003187,13,2235,21,0,0,0,0,169,505035,0,46,1169609,4421136,0,406,13,10,master
41,15,26,256,5692574,900144,12,1644,16,0,0,0,0,168,461055,0,27,1119885,4093614,0,281,12,9,master
