totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
6,2,4,47,751261,136343,12,965,4,1,0,0,0,24,77807,0,8,170988,575498,0,55,12,6,platinum
27,12,15,189,2850164,587186,13,4120,15,0,0,0,0,169,319330,0,29,811295,2022295,0,193,13,11,platinum
50,26,24,401,7104251,1053539,17,10308,51,9,2,1,0,243,675797,0,47,1509643,5540823,0,312,17,11,platinum
27,10,17,209,3504954,585985,16,5330,27,5,1,0,0,149,341523,0,38,888847,2591272,0,147,16,12,diamond
234,95,139,1673,28011103,4624461,24,41924,179,25,2,0,0,1381,2853535,0,187,5322266,22445870,0,1731,24,14,diamond
83,32,51,801,10782257,1636857,23,15861,96,18,4,1,0,462,1087007,0,82,1836519,8841427,0,558,23,15,diamond
51,21,30,384,5433589,843173,16,8462,46,9,3,1,0,230,606503,0,55,1344554,4019081,0,388,16,12,gold
9,3,6,99,1761302,259982,21,1865,12,1,0,0,0,68,141767,0,19,356656,1391391,0,86,21,12,gold
600,251,349,3853,76338570,11058506,19,110781,448,81,15,0,0,2362,7317417,0,592,15206824,60546309,0,4089,19,12,challenger
79,34,45,481,9132042,1467105,17,15193,56,6,1,0,0,353,931613,0,92,2472354,6564830,0,570,17,11,challenger
34,7,27,300,3849883,573320,18,5781,39,5,0,0,0,135,410261,0,40,755682,3040786,0,256,18,9,master
99,40,59,691,12555747,2223175,18,19004,86,8,1,0,0,608,1227642,0,82,2800319,9671772,0,739,18,15,master
84,43,41,554,9923502,1423078,28,16309,66,8,0,0,0,357,985331,0,73,2309707,7547682,0,483,28,10,master
1079,479,600,6903,144333870,18495155,20,226187,938,172,21,4,0,4213,13451232,0,1134,29073803,114287202,0,7313,20,14,master
116,42,74,718,15044517,2207318,18,22488,86,18,2,0,0,559,1421052,0,154,2653985,12306042,0,795,18,14,master
70,21,49,430,7876662,1041383,14,13135,50,7,0,0,0,236,823754,0,69,1874160,5944212,0,497,14,9,master
64,24,40,362,6628846,1163316,13,10406,28,3,0,0,0,288,724164,0,79,1534437,5036611,0,533,13,11,master
762,361,401,4673,94287761,12945776,21,128050,547,74,13,2,0,3121,9053307,0,748,20732480,71900869,0,4693,21,13,master
7,5,2,16,554181,110836,7,1126,1,0,0,0,0,45,63224,0,4,160093,393909,0,29,7,10,master
8,5,3,35,727766,163300,12,1233,4,0,0,0,0,65,84189,0,10,173812,551585,0,54,12,11,master
44,19,25,292,6228224,985675,22,9010,34,10,2,0,0,229,575429,0,45,1174235,4991246,0,339,22,12,master
107,41,66,671,12541309,2331583,14,19789,68,6,2,1,0,669,1319186,0,133,2907812,9549614,0,780,14,15,master
33,15,18,227,3501677,698088,12,5434,27,2,0,0,0,152,388788,0,40,768607,2700301,0,256,12,11,master
155,71,84,933,20189533,2922427,20,30300,104,22,8,0,0,772,1896014,0,178,3597189,16465126,0,1031,20,11,master
551,252,299,3727,71721443,9649998,22,92451,434,80,9,2,0,3773,6603213,0,657,15231629,55832807,0,3259,22,17,master
3,1,2,13,229918,52355,6,322,1,0,0,0,0,16,29432,0,1,68452,158808,0,23,6,7,silver
15,8,7,82,1641686,293687,13,2278,6,2,0,0,0,91,174283,0,12,332790,1300136,0,132,13,10,silver
65,25,40,333,4824545,1552106,14,3816,34,3,0,0,0,549,727620,0,57,776645,4019591,0,727,14,17,silver
