totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
30,6,24,240,4433158,423931,15,6098,23,3,0,0,0,142,400753,0,45,481645,3906880,0,260,15,12,platinum
32,11,21,155,4291352,539309,11,5688,7,3,0,0,0,144,394690,0,27,602429,3672272,0,346,11,11,platinum
31,16,15,190,4546941,554164,16,5989,15,2,1,0,0,191,394415,0,27,562885,3949759,0,300,16,13,platinum
127,67,60,922,17172633,2455913,25,21404,109,22,2,1,0,909,1558245,0,122,2306400,14745908,0,987,25,18,platinum
7,3,4,39,1222039,110101,13,1599,6,0,0,0,0,41,97047,0,7,130220,1086442,0,64,13,8,platinum
33,9,24,205,5466590,478876,16,7030,23,3,1,0,0,102,425651,0,43,664248,4784086,0,259,16,8,diamond
38,12,26,299,5788622,668094,20,6690,29,6,1,0,0,205,509099,0,47,704923,5048204,0,418,20,9,gold
242,106,136,1727,40299661,3306050,21,54783,194,28,2,0,0,888,3226791,0,280,4071938,35968729,0,2075,21,11,master
134,60,74,848,21100445,2006102,20,28759,94,10,0,0,0,524,1696639,0,148,2020758,18971419,0,961,20,9,master
10,4,6,24,884763,112314,5,1658,2,1,0,0,0,35,88030,0,7,103422,781114,0,56,5,8,master
68,32,36,409,12129794,1171785,15,14375,37,4,0,0,0,328,905540,0,59,1100798,10938809,0,563,15,13,master
111,50,61,729,16023819,1973778,22,20509,67,4,1,0,0,608,1356722,0,129,1909167,14009192,0,936,22,12,master
36,15,21,288,7058366,591871,26,8177,37,11,3,0,0,154,516847,0,65,747588,6265604,0,273,26,14,master
49,19,30,296,6774310,850144,18,8889,23,5,0,0,0,278,587754,0,42,747391,5963294,0,434,18,15,master
58,22,36,241,7318178,834401,12,10394,25,2,0,0,0,243,647460,0,52,992410,6284484,0,519,12,10,master
33,9,24,205,6046530,495085,10,6929,15,2,0,0,0,122,439254,0,45,536301,5474756,0,306,10,14,master
23,14,9,142,2726477,329059,19,3623,21,4,0,0,0,93,280362,0,18,477483,2234115,0,227,19,9,silver
4,2,2,33,502717,56301,13,724,3,0,0,0,0,15,47993,0,3,77527,424778,0,45,13,7,silver
46,22,24,289,6518118,809878,17,9126,29,4,1,0,0,247,617289,0,34,832094,5630429,0,475,17,11,silver
13,6,7,93,1770855,247463,15,2232,6,0,0,0,0,80,166348,0,6,240370,1512057,0,162,15,11,silver
