totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
401,145,256,2290,61562995,6449480,18,83674,164,13,2,1,0,1464,5131740,0,538,6452327,54714092,0,2414,18,13,master
325,135,190,1569,41312964,5855482,14,58975,89,4,0,0,0,1533,3851927,0,419,4837670,36167052,0,2521,14,12,master
54,24,30,346,7901499,928590,15,10276,36,3,0,0,0,315,689505,0,63,1166957,6677418,0,402,15,11,silver
13,6,7,88,2205150,208695,16,2815,8,2,0,0,0,56,176658,0,20,224127,1965099,0,104,16,10,silver
95,43,52,683,16781832,2171466,19,16949,59,3,0,0,0,906,1338949,0,170,1466327,15095036,0,700,19,20,bronze
7,2,5,27,1000712,136188,8,1187,2,0,0,0,0,40,85280,0,8,137595,854177,0,64,8,10,bronze
5,3,2,36,660111,99963,13,850,10,0,0,0,0,44,61224,0,4,72381,583769,0,31,13,14,bronze
