totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
128,58,70,1093,20092765,3569587,21,6387,127,13,1,0,0,799,1658073,0,102,16393745,2148667,0,843,21,15,platinum
29,12,17,278,6031756,891606,20,1512,37,8,1,0,0,154,427255,0,22,4867550,820954,0,199,20,12,platinum
47,23,24,366,6961767,1358614,23,2397,40,6,0,0,0,304,582608,0,32,5183975,1126784,0,326,23,13,platinum
89,37,52,730,14906682,2555248,19,3332,78,10,0,0,0,492,1157227,0,55,12184043,1587420,0,542,19,13,platinum
177,90,87,1292,26406952,5231821,20,23455,141,13,2,0,0,1480,2228122,0,221,21953586,3441985,0,1046,20,21,platinum
1316,609,707,11808,217160546,36467766,27,95003,1308,166,16,4,0,7420,17505857,0,1263,178600090,23216335,0,8123,27,16,diamond
119,46,73,962,15937091,2824794,22,12970,93,11,0,0,0,683,1452435,0,139,13338314,1862984,0,756,22,14,diamond
101,56,45,822,14556501,2880672,26,5284,81,6,0,0,0,622,1301129,0,72,11101937,1958781,0,721,26,15,gold
3,0,3,17,244981,43062,12,108,2,2,1,0,0,6,27340,0,1,187150,41612,0,14,12,4,gold
74,37,37,717,12087756,2154826,32,3218,57,10,1,0,0,346,1002173,0,69,9543599,1503883,0,454,32,13,gold
112,45,67,762,19395883,2764075,21,14371,69,10,0,0,0,529,1463544,0,117,14743160,3731045,0,754,21,13,challenger
349,140,209,3784,65008485,9382941,28,24444,527,83,14,6,0,1956,4870366,0,299,52042443,8829821,0,1819,28,15,master
442,192,250,2931,69302269,11241258,26,44235,288,30,4,0,0,2016,5414575,0,403,52175939,13042241,0,2693,26,11,master
87,41,46,690,15254927,2168468,21,9910,70,10,0,0,0,434,1172391,0,81,11802921,2630854,0,596,21,12,master
150,66,84,1222,25460511,3782398,19,5504,124,13,1,0,0,698,1900378,0,141,21514798,2307944,0,819,19,12,master
35,13,22,322,6846531,918985,25,4995,45,4,1,1,0,181,504435,0,44,5201350,1318502,0,272,25,11,master
73,32,41,673,9919857,1857892,27,8204,86,11,1,0,0,635,904319,0,124,8553899,961766,0,473,27,18,master
1054,483,571,8727,187719823,27260614,23,51223,1048,144,16,3,0,4364,13654575,0,908,154478735,19683106,0,5410,23,14,master
158,68,90,1422,27110902,4201138,21,9862,158,21,3,1,0,887,2104464,0,107,21640864,3435740,0,1109,21,13,master
338,111,227,3425,62537288,8729817,30,37689,433,67,16,2,0,1822,4773141,0,445,50655585,8453052,0,2069,30,15,master
44,14,30,467,8020248,1243583,28,2669,63,9,2,1,0,251,606990,0,64,6680692,816332,0,268,28,14,master
171,76,95,1212,25998742,5087266,26,18966,132,28,3,1,0,1175,2112846,0,197,18305084,6470049,0,1089,26,16,master
186,86,100,1891,35431393,5407720,28,13028,258,43,5,1,0,1043,2611493,0,199,28620859,4336451,0,1032,28,14,master
136,57,79,1232,22924025,3791652,23,9280,121,24,4,0,0,827,1790838,0,109,18550038,2785973,0,923,23,16,master
316,135,181,3176,47957542,8283788,31,21626,393,63,8,1,0,1961,4044938,0,245,39205275,5531444,0,1880,31,14,master
124,59,65,1138,21578204,3236564,24,14507,137,22,4,0,0,788,1659536,0,156,17345298,3135237,0,613,24,15,master
22,8,14,233,3645898,707784,25,1472,23,5,1,0,0,185,318265,0,17,2798867,548167,0,147,25,17,bronze
18,10,8,115,2685863,585232,16,1624,9,2,1,0,0,152,220294,0,17,1598449,947022,0,128,16,13,bronze
2,1,1,5,141102,31943,4,39,0,0,0,0,0,10,13997,0,0,104673,19888,0,5,4,7,bronze
46,23,23,489,6917807,1429756,27,5386,47,7,0,0,0,412,622786,0,45,5687271,917038,0,265,27,19,bronze
