totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
77,26,51,111,2281260,1969804,7,2891,2,0,0,0,0,298,723755,0,30,534304,1425905,0,1091,7,9,platinum
21,6,15,43,608368,600826,6,914,1,0,0,0,0,113,213726,0,2,146232,363037,0,324,6,13,platinum
13,8,5,11,377753,322653,2,615,0,0,0,0,0,56,114007,0,4,119282,172118,0,140,2,13,platinum
13,8,5,16,497220,312547,2,652,0,0,0,0,0,42,123822,0,3,141355,259184,0,160,2,7,platinum
58,29,29,91,1850224,1527046,6,2766,0,0,0,0,0,260,561214,0,16,505383,971367,0,808,6,10,platinum
19,6,13,83,1133490,509926,9,1291,3,0,0,0,0,132,218803,0,3,181508,879292,0,313,9,12,platinum
40,20,20,44,1366571,1111041,5,1815,2,0,0,0,0,188,376025,0,10,364763,791241,0,549,5,11,platinum
10,6,4,25,271184,242576,4,415,1,0,0,0,0,37,93129,0,4,69892,158583,0,138,4,10,platinum
28,11,17,36,969050,747079,4,1347,2,0,0,0,0,134,265423,0,10,241600,555345,0,384,4,11,platinum
61,27,34,104,2039125,1809528,5,3401,2,0,0,0,0,292,618667,0,28,522660,1019273,0,986,5,11,platinum
33,18,15,38,783178,935745,6,1395,1,0,0,0,0,142,301210,0,4,203647,380753,0,463,6,10,diamond
220,116,104,201,4500263,5961945,5,6964,3,0,0,0,0,1205,1904258,0,39,1446206,2219955,0,2998,5,15,diamond
11,5,6,10,342507,279789,4,512,0,0,0,0,0,34,101805,0,4,103235,175694,0,164,4,6,diamond
32,14,18,36,737067,822632,4,1256,0,0,0,0,0,134,275171,0,10,222831,349964,0,417,4,9,diamond
64,25,39,72,1386943,1486800,5,1899,1,0,0,0,0,260,552598,0,17,303559,873640,0,937,5,12,diamond
167,70,97,232,3418818,3792615,7,4518,2,0,0,0,0,686,1433670,0,18,752965,2165217,0,2374,7,11,diamond
98,49,49,108,2181838,2611835,5,4070,1,0,0,0,0,383,804848,0,26,746488,909600,0,1241,5,10,diamond
80,34,46,119,2043143,1883704,6,3784,3,0,0,0,0,347,693643,0,16,595969,1035289,0,1034,6,12,diamond
58,28,30,71,1359216,1334846,7,2085,2,0,0,0,0,230,478584,0,12,402305,708535,0,705,7,9,diamond
70,35,35,127,1962511,1769643,7,3322,4,0,0,0,0,301,622410,0,11,547062,963435,0,856,7,13,diamond
175,88,87,230,4578248,4686516,7,7222,3,0,0,0,0,862,1557149,0,26,1041466,2880256,0,2408,7,12,diamond
40,18,22,33,1146932,1103172,4,1850,0,0,0,0,0,204,347189,0,12,300181,649906,0,541,4,10,diamond
33,17,16,55,831273,748342,5,1347,0,0,0,0,0,109,282298,0,10,248279,402682,0,446,5,8,diamond
23,14,9,28,542272,624926,4,959,2,0,0,0,0,87,218246,0,3,143468,264406,0,337,4,8,diamond
123,54,69,132,2762076,2842873,5,4191,2,1,0,0,0,423,1047971,0,37,880068,1367590,0,1719,5,9,diamond
24,15,9,36,559387,589953,5,879,0,0,0,0,0,95,200134,0,3,163845,281216,0,240,5,7,diamond
15,8,7,14,471938,443325,3,652,0,0,0,0,0,59,153287,0,4,126100,283445,0,243,3,10,gold
39,14,25,59,1103967,997797,6,1350,0,0,0,0,0,180,377421,0,11,252300,772312,0,530,6,10,gold
22,10,12,28,527863,567534,5,905,0,0,0,0,0,107,198688,0,4,148102,263058,0,301,5,11,gold
24,10,14,36,691285,569049,4,1052,0,0,0,0,0,79,214627,0,3,181665,382073,0,321,4,8,gold
22,11,11,31,621571,548642,6,964,1,0,0,0,0,87,197982,0,4,176091,327178,0,259,6,10,gold
12,4,8,15,442976,320140,5,717,0,0,0,0,0,42,117110,0,5,125034,241990,0,158,5,10,gold
179,95,84,253,5213270,4772347,7,8828,6,0,0,0,0,867,1771562,0,69,1505407,2580502,0,2657,7,13,gold
