totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
9,2,7,44,1333158,140224,8,1760,4,0,0,0,0,31,110893,0,16,1075283,221147,0,57,8,6,platinum
130,55,75,950,21556539,2445603,27,26874,103,16,4,2,0,627,1763783,0,299,15937862,5278179,0,898,27,11,platinum
66,30,36,365,9395766,1233640,14,12252,48,8,2,1,0,316,794304,0,103,7347117,1957720,0,458,14,11,platinum
77,36,41,507,11310974,1332256,15,14886,71,14,3,0,0,311,969906,0,173,9036377,2109279,0,463,15,12,diamond
23,15,8,143,3706634,442605,12,4553,15,2,0,0,0,125,290537,0,48,2869809,806931,0,118,12,11,gold
123,42,81,1006,17074646,2176075,24,22385,139,27,12,3,0,533,1527880,0,250,13610976,3190397,0,746,24,11,challenger
80,37,43,603,11111740,1509653,22,14728,70,21,3,0,0,405,963779,0,138,8299968,2700658,0,413,22,15,master
55,20,35,350,7940006,957326,17,10574,47,9,0,0,0,257,661864,0,123,6381221,1354353,0,342,17,11,master
133,62,71,892,18970383,2504315,19,24361,92,10,5,2,0,850,1688626,0,278,15494426,3237443,0,998,19,16,silver
77,39,38,527,10919465,1441143,18,12735,56,7,1,1,0,534,956258,0,152,9045980,1702598,0,538,18,13,silver
9,4,5,89,1754163,192053,17,2035,15,3,2,1,0,54,131503,0,28,1390647,349022,0,47,17,12,silver
37,19,18,265,4873805,714062,16,6431,34,5,0,0,0,204,454983,0,53,3558341,1253171,0,280,16,11,silver
3,2,1,51,654825,80757,26,584,7,1,0,0,0,20,51889,0,7,448021,197407,0,27,26,9,bronze
6,3,3,76,1431372,183694,26,1348,15,3,0,0,0,40,102805,0,18,1158251,249982,0,56,26,11,bronze
6,5,1,27,739512,113821,7,981,2,0,0,0,0,35,67537,0,8,482317,252609,0,31,7,9,bronze
8,4,4,53,761540,137865,11,1029,5,0,0,0,0,47,89184,0,12,586455,171287,0,60,11,14,bronze
