totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
18,14,4,26,438665,399120,4,709,1,0,0,0,0,89,154534,0,2,148373,173335,0,196,4,9,platinum
265,133,132,438,8875697,6281795,7,14076,9,0,0,0,0,1264,2703159,0,68,2536166,4552929,0,3737,7,13,platinum
89,40,49,167,2322643,2152655,6,3515,6,0,0,0,0,482,826846,0,16,674974,1174884,0,1165,6,12,diamond
247,94,153,647,10816003,6272826,14,16752,27,2,0,0,0,1438,2533560,0,48,2927910,5764654,0,3463,14,13,diamond
780,359,421,1704,22087749,17671805,8,32743,43,0,0,0,0,4555,7039550,0,162,7069085,10366333,0,10081,8,18,diamond
34,9,25,76,960407,895547,7,1415,1,0,0,0,0,266,329931,0,5,280642,428313,0,550,7,20,diamond
102,40,62,184,2777281,2558003,8,4475,3,0,0,0,0,523,922852,0,31,937549,1181802,0,1349,8,10,diamond
22,12,10,36,563373,582475,5,932,1,0,0,0,0,171,205433,0,6,161574,293533,0,273,5,12,diamond
50,23,27,58,1462381,1164849,4,1972,1,0,0,0,0,263,469960,0,14,451934,742737,0,678,4,11,gold
8,6,2,17,268734,186599,7,279,0,0,0,0,0,51,69868,0,3,106567,113339,0,84,7,8,gold
36,20,16,69,843738,1000764,7,1289,3,0,0,0,0,257,363061,0,10,310949,323786,0,519,7,15,gold
103,43,60,146,3123706,2598101,7,3933,2,0,0,0,0,708,976654,0,34,909119,1590706,0,1462,7,15,gold
24,9,15,40,681985,506641,5,1238,1,0,0,0,0,96,222575,0,12,239547,307792,0,303,5,12,gold
68,26,42,122,1955933,1572461,8,2144,2,0,0,0,0,343,679011,0,22,601329,1071029,0,1032,8,10,gold
44,23,21,85,1703052,1081354,7,2296,1,0,0,0,0,207,457591,0,17,504124,917508,0,620,7,10,gold
1,0,1,5,53639,36849,5,68,0,0,0,0,0,5,13704,0,1,18063,26432,0,23,5,5,gold
8,4,4,10,271421,179048,4,398,0,0,0,0,0,36,82144,0,1,87608,117720,0,115,4,8,gold
256,98,158,489,7416466,5605992,10,11371,18,1,0,0,0,1023,2318242,0,64,2498586,3029863,0,3433,10,16,challenger
