totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
26,12,14,212,2563946,470912,16,3383,14,1,0,0,0,141,301476,0,17,629286,1906140,0,153,16,10,platinum
24,9,15,181,2476468,616860,17,3445,19,2,0,0,0,121,286464,0,20,921393,1501363,0,190,17,11,platinum
34,13,21,318,4145752,752112,24,5159,23,2,0,0,0,195,439352,0,29,854613,3242553,0,268,24,13,platinum
49,26,23,516,4757732,1021886,19,6446,43,3,1,0,0,345,605838,0,41,1155400,3531410,0,269,19,15,platinum
30,13,17,340,2970933,617244,24,4042,38,8,0,0,0,153,389157,0,20,913842,1987486,0,211,24,10,platinum
33,16,17,315,2628151,634957,22,3856,25,6,1,0,0,233,365736,0,14,699269,1897541,0,157,22,15,platinum
31,14,17,281,3736297,727586,22,3375,30,7,1,0,0,261,378761,0,25,884253,2679476,0,163,22,17,platinum
71,33,38,723,7705541,1491386,32,10066,71,13,2,0,0,467,881687,0,52,1549043,6058476,0,520,32,13,platinum
156,54,102,1587,17901880,2590585,24,26236,175,34,3,2,0,601,1948280,0,103,3519436,14135394,0,811,24,12,platinum
91,43,48,624,10775835,1815592,22,15496,53,8,0,0,0,459,1046205,0,79,2380828,8272207,0,472,22,14,diamond
22,8,14,178,2545324,418657,17,3593,24,3,1,0,0,87,263231,0,13,600854,1922576,0,143,17,9,diamond
60,25,35,467,7181484,1328814,19,10158,52,9,2,0,0,353,713323,0,59,1625749,5483425,0,306,19,12,diamond
199,102,97,1496,24023426,4476700,20,30658,128,14,2,0,0,1179,2356362,0,181,5832983,17847697,0,1241,20,13,diamond
47,25,22,274,4306096,1024827,21,7593,23,2,0,0,0,234,497613,0,48,1829047,2406991,0,230,21,12,diamond
28,12,16,293,3419252,533454,20,4046,24,6,1,0,0,159,372994,0,25,835667,2494562,0,178,20,10,gold
29,15,14,225,3327387,608315,14,3764,24,6,1,0,0,181,335842,0,18,753367,2482029,0,173,14,11,gold
67,30,37,452,9171746,1084005,21,9068,43,4,0,0,0,224,797979,0,76,1922401,6848380,0,263,21,10,gold
31,13,18,299,2975890,715525,23,3448,27,3,0,0,0,239,385322,0,20,800680,2112590,0,192,23,16,gold
4,1,3,41,441875,90434,18,551,3,0,0,0,0,26,51140,0,6,99715,336482,0,31,18,11,gold
171,91,80,1504,17621527,3509296,24,23627,132,14,1,0,0,1179,2063567,0,135,3752843,13628683,0,1006,24,14,gold
67,27,40,499,9275502,1579431,17,5808,37,4,0,0,0,368,845280,0,77,2339702,6402752,0,525,17,11,gold
32,6,26,374,4077138,687338,23,3925,42,8,0,0,0,168,422847,0,19,1045443,2898528,0,241,23,10,gold
34,18,16,387,4053812,751191,19,5383,50,8,0,0,0,246,449799,0,29,850259,3154762,0,206,19,14,gold
6,5,1,27,540299,117283,10,700,0,0,0,0,0,39,63947,0,1,131402,396419,0,25,10,9,gold
23,12,11,228,2377775,415021,17,3128,16,1,0,0,0,119,272729,0,19,607141,1739275,0,143,17,10,gold
63,29,34,445,7238607,1272187,20,10966,45,7,1,0,0,285,734008,0,38,1472245,5705129,0,383,20,13,challenger
127,63,64,1040,15442878,2506973,22,22102,80,7,3,2,0,672,1550190,0,154,3167702,12035719,0,583,22,14,challenger
31,11,20,326,4060164,660860,26,5767,34,7,3,1,0,176,413426,0,34,813536,3224237,0,186,26,13,challenger
150,59,91,1247,19775024,2859146,19,29199,138,22,4,2,0,692,1883382,0,167,3891030,15708442,0,810,19,11,challenger
79,36,43,654,9825110,1626740,19,13523,61,7,0,0,0,428,963471,0,76,2095746,7544642,0,377,19,15,challenger
53,27,26,429,6023185,1105123,23,7453,40,5,2,0,0,262,642524,0,42,1304447,4578701,0,359,23,10,master
22,13,9,126,2002369,446401,16,2110,7,0,0,0,0,172,221756,0,11,531352,1383708,0,124,16,10,master
30,9,21,257,4224018,609186,15,4622,29,3,0,0,0,138,384718,0,29,1023373,3084282,0,185,15,10,master
65,26,39,435,7520280,1124853,18,9708,48,3,1,0,0,219,754067,0,54,1605883,5747377,0,348,18,9,master
51,23,28,480,6773679,942212,28,8985,60,9,3,2,0,196,652942,0,47,1400803,5243172,0,286,28,10,master
126,49,77,1042,15090988,2524025,21,19916,79,6,1,0,0,766,1543001,0,114,2850663,12021279,0,738,21,13,master
168,74,94,1534,19459730,3303030,22,28143,185,29,4,0,0,880,2075525,0,168,3980676,15173892,0,955,22,13,master
240,102,138,1963,34976921,4771033,21,35837,204,25,3,0,0,930,3093590,0,178,6558471,27029214,0,1537,21,12,master
91,41,50,765,11342672,1568971,27,17332,89,14,3,1,0,378,1146253,0,94,2339946,8916952,0,468,27,10,master
290,125,165,2360,39947946,6320938,27,47775,212,24,5,0,0,1221,3707068,0,227,7387849,31528288,0,1925,27,12,master
134,61,73,1155,12899413,2464296,24,16904,129,20,3,1,0,670,1533184,0,77,2894074,9840370,0,863,24,14,master
2,2,0,9,174256,55429,6,256,0,0,0,0,0,28,20591,0,1,37496,134945,0,9,6,20,master
20,5,15,182,2677506,570266,21,3962,16,5,1,0,0,76,268545,0,21,847932,1784374,0,156,21,7,master
40,19,21,365,5240797,841145,21,7179,36,10,0,0,0,238,514506,0,24,922379,4238112,0,216,21,10,master
54,21,33,380,6058217,1414458,23,9134,32,9,1,0,0,274,645390,0,47,2218329,3723157,0,398,23,10,master
33,16,17,283,4146497,718084,18,4380,29,9,2,0,0,164,405329,0,21,950401,3049117,0,181,18,13,master
256,104,152,1998,32172443,5062632,24,45689,196,40,3,0,0,1097,3206265,0,312,8671203,23057869,0,1499,24,13,master
21,5,16,218,2658965,360045,25,3496,24,7,0,0,0,98,262715,0,23,517317,2116656,0,116,25,9,master
31,9,22,337,4321679,647161,27,5527,37,6,0,0,0,201,429546,0,24,802336,3443585,0,190,27,13,master
221,79,142,1638,40090992,5792522,23,19906,169,17,2,1,0,822,2990196,0,186,8793178,28646248,0,1418,23,13,master
124,57,67,1017,13661254,2562491,20,16403,109,15,1,1,0,656,1439787,0,73,3059187,10210560,0,748,20,13,master
336,148,188,2505,43814646,7553405,21,58956,259,36,5,1,0,1669,4110728,0,322,9172622,34342341,0,1920,21,15,master
78,33,45,604,8762614,1600052,21,13232,57,11,1,0,0,406,936833,0,77,1886910,6751428,0,482,21,13,master
296,130,166,2457,34191757,6347920,24,46892,233,33,2,0,0,1864,3598818,0,174,7029084,26773918,0,1877,24,14,master
94,31,63,744,9715323,1885137,22,13701,60,9,1,0,0,463,1077789,0,73,2467459,7143479,0,583,22,16,master
27,18,9,220,2514906,487602,16,4027,26,4,2,0,0,147,307479,0,8,634175,1854044,0,132,16,11,master
42,15,27,527,4264463,805265,28,5650,53,5,0,0,0,208,575558,0,41,1072963,3136701,0,318,28,12,silver
2,1,1,27,361919,74116,17,94,2,0,0,0,0,19,34533,0,1,101080,233230,0,17,17,10,silver
3,2,1,28,373619,62825,10,483,1,0,0,0,0,19,42196,0,1,104844,265328,0,19,10,7,silver
8,6,2,68,698679,159094,14,804,4,0,0,0,0,39,93589,0,7,272938,395909,0,52,14,8,silver
12,4,8,84,1035934,217058,14,1497,5,1,0,0,0,66,135899,0,12,290006,729171,0,71,14,9,silver
53,30,23,412,5008747,972024,22,7253,37,0,0,0,0,250,613874,0,36,1189122,3770491,0,303,22,9,silver
2,2,0,8,108683,22109,7,48,1,0,0,0,0,8,15833,0,0,22796,74737,0,5,7,8,silver
59,28,31,643,9044142,1480255,33,4851,56,10,0,0,0,371,793709,0,45,2180917,6333924,0,307,33,15,silver
12,6,6,129,1042248,275872,18,926,13,4,1,0,0,101,144507,0,4,332238,666094,0,87,18,11,bronze
