totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
61,26,35,80,1568296,902056,5,1241,2,0,0,0,0,270,608382,0,33,397051,1159166,0,839,5,9,platinum
118,52,66,171,2380181,1823353,7,1582,6,0,0,0,0,602,1150177,0,38,481794,1886192,0,1822,7,13,platinum
94,38,56,468,12079976,2095135,18,16596,28,6,0,0,0,447,1115356,0,103,1735061,10278284,0,1001,18,12,platinum
50,29,21,128,2283277,681315,15,3164,9,0,0,0,0,180,473836,0,21,425898,1833981,0,579,15,13,diamond
12,7,5,32,1085352,218026,7,1730,2,0,0,0,0,48,126077,0,6,161144,916082,0,126,7,8,diamond
32,17,15,44,2444181,502256,7,3713,4,1,0,0,0,132,315118,0,20,390835,2037203,0,341,7,9,diamond
23,8,15,125,2677650,516445,15,3633,9,1,0,0,0,144,273461,0,22,433534,2215437,0,239,15,12,diamond
25,16,9,62,2278952,493211,7,2763,1,0,0,0,0,156,275266,0,10,331600,1933013,0,262,7,12,diamond
125,63,62,208,3766342,2272963,7,3512,9,1,0,0,0,602,1273035,0,43,724554,3014933,0,1926,7,12,diamond
36,14,22,145,3929525,671594,18,5706,9,0,0,0,0,138,385399,0,23,670685,3213768,0,299,18,8,diamond
53,24,29,205,5663601,789414,12,8349,20,2,0,0,0,158,545434,0,55,953232,4672720,0,475,12,8,diamond
30,15,15,76,2283490,530973,8,2750,4,1,0,0,0,147,326327,0,20,403251,1867571,0,382,8,11,diamond
74,40,34,121,1442777,1237770,4,1664,3,0,0,0,0,407,743304,0,32,408871,1012686,0,1049,4,11,gold
250,116,134,779,31454858,4152798,14,46140,42,5,0,0,0,859,2732437,0,277,5172808,26086182,0,2296,14,10,challenger
25,12,13,133,2817644,439480,12,3743,10,1,0,0,0,87,285087,0,16,462920,2330396,0,225,12,9,master
114,38,76,330,7733194,1472400,8,9124,11,0,0,0,0,409,1084183,0,74,1169623,6500048,0,1206,8,12,master
34,11,23,111,3915497,486943,10,5828,5,1,0,0,0,87,379360,0,23,644659,3247064,0,390,10,9,master
84,38,46,270,8583601,1440598,11,13885,8,0,0,0,0,314,890048,0,68,1676677,6827448,0,730,11,10,master
160,69,91,305,7338807,2539774,14,7936,12,2,0,0,0,715,1571332,0,73,1384412,5851343,0,2155,14,10,master
187,94,93,483,12770299,2820591,12,16702,22,0,0,0,0,563,1873613,0,83,1832350,10757983,0,2141,12,9,master
52,19,33,252,6514639,693830,15,8809,27,1,0,0,0,118,603344,0,57,1099279,5368847,0,513,15,9,master
118,44,74,601,14920231,2217664,12,20749,27,2,0,0,0,438,1351893,0,136,2623690,12128687,0,993,12,10,master
46,16,30,186,5386621,782236,14,8690,16,2,1,0,0,149,512927,0,45,932966,4422004,0,381,14,10,master
107,46,61,202,4262561,1529883,8,4197,10,0,0,0,0,332,973686,0,44,738213,3463104,0,1442,8,8,master
334,172,162,434,7193063,4314119,17,8201,15,0,0,0,0,1228,2996000,0,105,2215908,4886850,0,4105,17,12,master
65,30,35,167,5307915,1247761,11,7549,13,0,0,0,0,329,648138,0,48,908759,4375510,0,697,11,9,master
90,40,50,287,6710257,1461281,10,9098,16,2,0,0,0,471,886508,0,53,1266216,5411791,0,954,10,15,master
17,7,10,89,2414037,329629,9,3268,0,0,0,0,0,64,217531,0,14,415356,1974832,0,171,9,9,master
56,31,25,104,1985069,976592,6,1432,6,0,0,0,0,361,556759,0,18,338105,1644355,0,783,6,13,silver
5,4,1,14,261339,79237,7,301,0,0,0,0,0,33,44250,0,0,37625,223399,0,45,7,8,silver
22,10,12,93,2652704,364796,12,3694,5,0,0,0,0,76,279350,0,21,521279,2123355,0,212,12,7,silver
6,2,4,11,199637,82005,5,199,2,0,0,0,0,30,57825,0,2,56077,143455,0,100,5,10,silver
6,5,1,34,689493,104319,10,942,2,1,0,0,0,25,72670,0,2,94561,590618,0,37,10,6,silver
12,4,8,32,968530,194433,6,1475,1,0,0,0,0,63,117762,0,12,195643,766698,0,122,6,8,bronze
6,3,3,18,536813,133905,6,697,2,0,0,0,0,37,64942,0,8,94880,441172,0,71,6,12,bronze
16,10,6,24,995173,285135,3,1102,1,0,0,0,0,96,161603,0,6,172923,819145,0,201,3,10,bronze
