totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
12,3,9,79,1786766,496500,17,2240,8,0,0,0,0,71,153097,0,17,690067,1087660,0,81,17,11,gold
12,5,7,85,1635324,517461,14,820,8,0,0,0,0,83,152582,0,9,621431,894197,0,127,14,11,gold
77,35,42,323,11113077,2995965,13,15279,23,3,0,0,0,321,930762,0,111,3517121,7521243,0,449,13,9,master
859,425,434,3809,132311436,32359893,17,185439,302,25,3,0,0,5564,10767388,0,1132,32206212,99242705,0,5439,17,17,master
18,8,10,80,2323622,620122,13,3368,7,1,1,0,0,75,220505,0,25,897508,1414797,0,145,13,9,silver
14,6,8,84,1612905,476621,12,989,9,1,0,0,0,78,153933,0,5,513782,993881,0,145,12,9,silver
2,2,0,7,263036,111305,6,293,0,0,0,0,0,20,23389,0,0,77313,183986,0,16,6,11,silver
4,3,1,13,440421,117586,4,455,2,0,0,0,0,16,42281,0,2,99996,332419,0,19,4,6,bronze
2,0,2,26,307456,91885,20,120,3,2,0,0,0,9,32292,0,3,100736,188887,0,23,20,6,bronze
40,24,16,211,5317660,1340709,14,3396,20,1,0,0,0,277,456978,0,38,2701270,2276330,0,260,14,13,bronze
14,6,8,59,1774762,469441,12,2330,1,0,0,0,0,57,164293,0,15,484084,1266624,0,110,12,8,bronze
