totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
21,6,15,157,1109012,400149,12,951,5,1,0,0,0,140,256786,0,5,107106,981648,0,297,12,16,platinum
8,4,4,69,1380840,121331,19,1549,8,2,0,0,0,45,107565,0,9,91218,1280375,0,72,19,10,gold
115,48,67,1150,17753181,2101915,28,20110,117,15,1,0,0,794,1505796,0,110,1333429,16329014,0,1002,28,14,challenger
60,20,40,472,9988629,1132640,17,11989,38,1,0,0,0,236,784565,0,53,830659,9099292,0,411,17,10,master
28,3,25,289,4026306,466752,17,5058,35,7,0,0,0,84,360271,0,44,360495,3635101,0,186,17,10,master
192,76,116,1399,23516579,3306804,25,30147,123,13,2,0,0,1018,2217513,0,153,2024288,21393872,0,1435,25,15,master
62,16,46,435,8759410,839716,20,11371,38,2,0,0,0,206,721677,0,69,541546,8189174,0,410,20,9,master
20,9,11,190,3359685,383862,19,4033,21,3,0,0,0,142,265148,0,24,207772,3143654,0,121,19,10,master
46,20,26,362,6356966,827170,19,7966,39,3,1,0,0,326,571964,0,47,593372,5741339,0,255,19,13,master
33,14,19,289,5292549,502710,17,6045,29,2,0,0,0,163,435551,0,35,419016,4856465,0,246,17,9,silver
44,18,26,434,7254067,882221,20,8743,43,4,0,0,0,295,608756,0,77,616814,6610733,0,292,20,13,silver
24,11,13,233,4952257,491531,18,4751,21,2,0,0,0,199,352877,0,21,319606,4610336,0,232,18,14,silver
93,52,41,733,14980027,1682962,19,16279,66,6,1,0,0,654,1247960,0,80,823200,14092419,0,722,19,14,silver
29,19,10,231,4478719,545663,15,5588,15,1,0,0,0,209,375513,0,14,366684,4086719,0,199,15,14,silver
11,5,6,73,1127780,148146,15,1565,7,0,0,0,0,42,122780,0,6,154594,970675,0,89,15,6,silver
8,4,4,58,860342,122025,12,793,1,0,0,0,0,45,103472,0,6,32449,823599,0,68,12,9,bronze
8,4,4,65,611073,141144,15,820,6,0,0,0,0,62,94179,0,4,81190,526700,0,60,15,12,bronze
