totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
26,13,13,26,623253,389878,3,506,0,0,0,0,0,127,230358,0,6,111018,508738,0,402,3,10,platinum
42,19,23,15,590085,558832,2,375,0,0,0,0,0,196,389826,0,9,141646,446035,0,708,2,10,platinum
31,10,21,21,460021,372469,3,563,0,0,0,0,0,135,296603,0,17,135624,313354,0,460,3,9,platinum
26,9,17,17,298460,291831,3,320,0,0,0,0,0,99,229891,0,7,104815,193331,0,375,3,9,platinum
68,31,37,37,579376,724784,4,528,1,0,0,0,0,272,550441,0,18,182309,384178,0,864,4,9,platinum
151,78,73,71,1897518,2036580,3,1930,3,0,0,0,0,684,1384361,0,27,504725,1361698,0,2301,3,13,platinum
113,45,68,61,1404026,1253257,3,1282,1,0,0,0,0,431,995757,0,27,423524,958354,0,1652,3,10,platinum
25,10,15,16,406672,343509,4,312,0,0,0,0,0,130,232653,0,3,83506,319254,0,379,4,15,platinum
235,104,131,140,2409947,2923115,3,2505,4,0,0,0,0,1009,2138569,0,47,720700,1616288,0,3529,3,12,diamond
66,35,31,42,826719,721057,3,620,0,0,0,0,0,258,547395,0,14,216541,595473,0,879,3,10,diamond
34,13,21,20,776038,514630,2,725,1,0,0,0,0,194,316748,0,14,166819,603564,0,509,2,11,diamond
88,29,59,68,1339241,1230185,4,1636,0,0,0,0,0,430,817586,0,23,352102,969666,0,1336,4,10,diamond
10,7,3,2,118831,128786,2,178,0,0,0,0,0,44,91312,0,3,42347,71115,0,143,2,8,diamond
8,0,8,16,246709,129740,4,175,0,0,0,0,0,36,79292,0,3,42317,203525,0,149,4,8,gold
55,19,36,49,1218456,998672,3,794,0,0,0,0,0,355,545953,0,16,209131,1001045,0,905,3,14,gold
12,5,7,3,252497,155949,2,176,0,0,0,0,0,41,134947,0,1,35460,209167,0,208,2,7,gold
58,18,40,40,1144023,734508,3,851,0,0,0,0,0,279,500331,0,11,291908,813344,0,872,3,15,challenger
24,6,18,24,611956,335679,4,381,1,0,0,0,0,112,210471,0,10,111158,492655,0,367,4,11,challenger
134,58,76,63,1683216,1703741,4,2104,0,0,0,0,0,692,1195035,0,38,584059,1048134,0,1872,4,14,challenger
72,26,46,47,1278865,1138251,3,1313,1,0,0,0,0,371,665414,0,12,196279,1060915,0,1122,3,12,challenger
88,41,47,65,1124407,847202,6,2041,0,0,0,0,0,336,702484,0,31,288189,825458,0,1096,6,9,challenger
38,13,25,39,666408,396725,7,825,0,0,0,0,0,128,348944,0,11,175783,488640,0,556,7,8,challenger
31,8,23,34,701112,420236,5,554,0,0,0,0,0,136,296286,0,19,151980,545132,0,534,5,8,challenger
58,22,36,24,1132562,486641,3,1071,0,0,0,0,0,199,487648,0,15,184053,929123,0,793,3,8,master
71,28,43,30,978974,901195,3,1085,0,0,0,0,0,290,607936,0,11,207621,754996,0,1013,3,10,master
80,39,41,41,1283972,921319,3,1955,0,0,0,0,0,409,726828,0,8,250491,1016965,0,1176,3,12,master
53,23,30,22,571534,547734,2,512,0,0,0,0,0,231,455930,0,6,215849,331595,0,713,2,10,master
68,24,44,44,1132976,931574,3,1270,3,0,0,0,0,331,640195,0,14,258431,860646,0,1030,3,11,master
54,17,37,34,757725,616022,4,589,1,0,0,0,0,218,440030,0,14,228329,519257,0,794,4,8,master
15,6,9,12,254149,187288,3,364,0,0,0,0,0,77,136033,0,2,57465,195873,0,237,3,9,master
95,36,59,85,1748471,1097536,4,1522,1,0,0,0,0,358,797595,0,31,446614,1276494,0,1234,4,11,master
73,37,36,30,1265112,749316,3,992,0,0,0,0,0,251,616936,0,20,357286,894098,0,962,3,9,master
74,27,47,67,1064243,796665,4,1091,1,0,0,0,0,253,635485,0,16,253994,798099,0,1075,4,9,master
335,141,194,282,5635283,4280313,5,5856,5,0,0,0,0,1465,2944927,0,70,1231071,4319263,0,5216,5,11,master
55,22,33,34,1013400,779089,3,911,0,0,0,0,0,237,468802,0,13,227564,767362,0,741,3,10,master
146,66,80,91,2013762,1773278,4,1936,1,0,0,0,0,613,1316377,0,35,490567,1494202,0,2306,4,12,master
40,21,19,23,663198,438857,4,793,0,0,0,0,0,174,343137,0,8,123010,535748,0,585,4,9,master
50,13,37,45,991283,672762,4,818,0,0,0,0,0,213,468269,0,19,239216,731580,0,837,4,11,master
52,26,26,34,659350,757319,3,575,2,0,0,0,0,267,444281,0,13,233584,398735,0,696,3,12,master
55,19,36,32,795190,613594,3,726,0,0,0,0,0,212,464931,0,11,250963,538746,0,784,3,8,master
72,27,45,82,1369736,1215687,5,1145,3,0,0,0,0,409,652459,0,18,303277,1037910,0,1072,5,12,master
79,43,36,41,685944,939730,3,1170,0,0,0,0,0,357,700683,0,7,189675,482448,0,1108,3,12,master
68,24,44,73,990573,925301,7,750,0,0,0,0,0,297,594553,0,8,265542,714350,0,919,7,11,master
103,40,63,104,2159100,1553660,4,1829,1,1,0,0,0,500,924577,0,25,473594,1662442,0,1551,4,14,master
155,64,91,91,2337799,2053491,5,2548,1,0,0,0,0,804,1242942,0,39,774735,1524468,0,2031,5,15,master
105,53,52,61,1074220,1174339,4,1475,1,0,0,0,0,474,855833,0,17,258270,805116,0,1299,4,12,master
84,34,50,39,867817,940516,3,999,0,0,0,0,0,359,734657,0,19,283419,574132,0,1211,3,11,master
82,39,43,61,1176437,1112645,5,1004,1,0,0,0,0,403,716087,0,12,375065,772581,0,1182,5,13,master
111,51,60,59,2553232,927183,3,2267,0,0,0,0,0,367,887705,0,35,538721,1992924,0,1301,3,9,master
31,17,14,31,565496,380446,5,626,1,0,0,0,0,121,269768,0,2,182845,371735,0,407,5,8,master
235,112,123,104,3367313,2961244,5,2908,0,0,0,0,0,1146,1921369,0,31,752353,2578514,0,3135,5,14,master
13,6,7,16,204138,167206,5,168,0,0,0,0,0,64,125775,0,3,75620,125254,0,176,5,7,silver
2,0,2,2,62335,37694,2,33,0,0,0,0,0,10,24847,0,0,12030,49882,0,43,2,7,silver
44,20,24,36,578809,789652,4,566,0,0,0,0,0,261,431741,0,13,162871,413132,0,647,4,10,silver
33,14,19,7,391236,481930,2,288,0,0,0,0,0,171,309631,0,4,100157,291033,0,457,2,10,silver
22,10,12,24,485932,437808,4,273,0,0,0,0,0,132,221493,0,7,115054,365732,0,369,4,12,silver
4,2,2,1,55404,48131,1,69,0,0,0,0,0,15,39045,0,1,20795,34424,0,71,1,7,silver
5,2,3,3,59787,70135,1,37,0,0,0,0,0,35,47466,0,1,18759,41026,0,81,1,10,bronze
11,6,5,20,311955,198230,4,279,0,0,0,0,0,95,99385,0,3,82019,229931,0,129,4,13,bronze
4,0,4,4,125192,87228,2,121,0,0,0,0,0,25,44879,0,0,21103,102923,0,80,2,14,bronze
