totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
291,136,155,2214,35404025,9695234,23,51682,219,42,2,0,0,1898,3774053,0,403,32834661,881909,0,1841,23,16,platinum
67,34,33,519,8358279,2171236,22,11041,61,14,0,0,0,367,841866,0,71,7690053,261526,0,505,22,13,platinum
14,4,10,84,2042525,430693,13,2726,8,0,0,0,0,73,182492,0,40,1937893,29949,0,108,13,10,platinum
47,24,23,264,7728300,1403563,20,9555,28,4,0,0,0,297,609599,0,87,7325395,114690,0,198,20,12,platinum
28,7,21,255,4344246,928485,17,6096,34,9,0,0,0,126,394052,0,43,4088361,97973,0,198,17,10,platinum
30,17,13,204,2694723,882447,20,4557,22,6,1,0,0,193,345590,0,22,2523049,40144,0,216,20,13,platinum
26,8,18,136,3450510,959366,12,4938,16,2,0,0,0,188,320879,0,46,3218056,94080,0,170,12,14,platinum
99,41,58,612,10259783,2614991,18,15843,62,8,0,0,0,484,1148337,0,137,9624642,192987,0,593,18,13,platinum
5,1,4,38,648314,172411,11,957,0,0,0,0,0,27,64244,0,7,599565,14615,0,36,11,8,platinum
46,15,31,296,6127515,1125251,15,9119,34,6,1,0,0,177,555271,0,86,5826509,91236,0,231,15,9,diamond
18,7,11,161,2328808,598810,20,3082,22,2,0,0,0,128,222656,0,26,2166907,51693,0,108,20,13,diamond
95,37,58,622,13511721,2602851,15,19872,62,12,1,0,0,400,1195182,0,173,12841405,280110,0,439,15,10,diamond
224,82,142,1895,30419709,6163924,21,41530,246,39,6,0,0,1076,2782472,0,441,28353513,510051,0,1162,21,12,diamond
34,19,15,175,4994396,994525,14,7217,14,2,0,0,0,168,407515,0,38,4733299,68421,0,151,14,8,diamond
30,19,11,157,4256676,875107,15,6270,13,1,0,0,0,186,360606,0,42,4030567,59379,0,97,15,11,diamond
17,6,11,148,2250241,497976,18,3350,16,4,1,0,0,77,231896,0,24,2123599,33016,0,122,18,9,gold
49,19,30,252,6314569,1531574,14,9203,18,2,0,0,0,245,594526,0,76,5921656,117608,0,350,14,9,gold
20,14,6,126,2993064,641528,14,4009,11,0,0,0,0,122,267022,0,23,2802545,67318,0,117,14,9,gold
29,14,15,243,3298296,1028736,18,4705,28,3,0,0,0,190,357550,0,32,3016806,104416,0,182,18,13,gold
