totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
29,13,16,237,4573387,565630,20,5690,33,8,1,0,0,131,384594,0,36,533689,4021423,0,258,20,13,platinum
21,10,11,125,3275301,398008,14,4077,12,2,0,0,0,124,267224,0,27,306445,2954747,0,141,14,10,platinum
14,7,7,129,2703084,288926,17,2906,15,2,0,0,0,86,198926,0,12,210036,2484066,0,113,17,11,platinum
8,6,2,34,1301034,143379,7,1649,1,0,0,0,0,36,96342,0,3,127200,1172664,0,56,7,6,diamond
56,23,33,410,11617323,1308064,20,13288,40,11,1,0,0,345,810644,0,79,973800,10599754,0,372,20,12,diamond
104,57,47,760,15802613,2156283,23,19814,89,13,3,0,0,794,1323490,0,137,1255337,14493186,0,808,23,15,diamond
30,18,12,181,4985727,556728,15,6371,25,1,0,0,0,143,381441,0,39,496401,4483218,0,198,15,9,diamond
29,15,14,155,4454667,495487,15,5945,18,8,1,0,0,133,352570,0,35,427187,4014512,0,162,15,10,diamond
32,13,19,229,5815906,638547,15,7004,25,6,0,0,0,185,446336,0,32,356556,5444694,0,280,15,12,diamond
47,16,31,383,7223418,781837,20,9054,48,10,1,1,0,216,617506,0,70,818406,6378793,0,374,20,12,gold
3,2,1,21,394689,48845,9,550,2,0,0,0,0,10,33339,0,3,50606,338888,0,14,9,7,gold
9,3,6,59,1423640,171868,12,1870,7,0,0,0,0,53,117858,0,14,186993,1233828,0,72,12,9,gold
79,32,47,470,12603051,1676978,16,15717,49,6,1,0,0,496,996254,0,107,1262108,11295071,0,642,16,12,challenger
29,10,19,183,4728514,551367,14,6351,22,4,1,0,0,148,382673,0,56,442905,4269184,0,213,14,13,challenger
42,20,22,277,6673960,785939,15,9099,27,2,1,0,0,212,534709,0,64,706551,5945364,0,279,15,10,challenger
42,22,20,252,5947969,680687,13,8355,22,2,1,1,0,180,487952,0,61,671578,5253844,0,254,13,12,challenger
104,47,57,565,15333553,1877621,16,21237,51,8,2,1,0,452,1250128,0,126,1568798,13683018,0,676,16,12,challenger
94,57,37,675,14484784,1884060,23,18985,77,11,2,2,0,484,1174487,0,123,1400183,13018442,0,523,23,13,master
33,15,18,200,6485741,710368,17,8010,27,6,1,0,0,161,469110,0,38,636661,5817845,0,232,17,9,master
43,24,19,274,6752473,887291,14,8249,30,3,1,0,0,235,542255,0,40,679967,6048537,0,328,14,14,master
94,44,50,531,15542309,1831244,16,19662,59,5,0,0,0,523,1171413,0,172,1786647,13707617,0,681,16,14,master
116,56,60,585,18890850,2163627,16,23756,60,5,0,0,0,539,1416984,0,167,1766354,17051710,0,734,16,14,master
88,39,49,465,11453998,1557292,12,17212,37,3,0,0,0,452,1029166,0,93,1279080,10159188,0,596,12,15,master
78,38,40,391,12924096,1394567,12,16718,61,9,0,0,0,326,963966,0,97,1064007,11825765,0,518,12,11,master
110,48,62,659,16127699,1632177,20,22319,77,11,0,0,0,399,1301800,0,174,1813525,14263724,0,561,20,9,master
129,58,71,817,18550501,2374214,17,24699,91,19,1,0,0,693,1552769,0,155,1668248,16787475,0,940,17,15,master
71,32,39,822,10878256,1451189,30,12519,113,26,8,3,0,457,1007683,0,109,1437730,9400222,0,529,30,12,silver
15,8,7,75,2105359,301373,12,2688,8,2,1,0,0,117,179380,0,18,279011,1824025,0,139,12,20,bronze
11,7,4,52,1304211,193248,11,1808,1,0,0,0,0,51,122238,0,7,130427,1172386,0,90,11,8,bronze
