totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
127,58,69,731,16244812,2226358,16,17900,68,4,0,0,0,310,1453468,0,183,15294732,399595,0,857,16,7,diamond
9,2,7,84,2049351,309013,18,838,4,0,0,0,0,57,140049,0,10,1648552,264000,0,96,18,12,gold
4,2,2,23,633099,108758,8,100,3,0,0,0,0,23,47184,0,1,537107,38778,0,15,8,11,gold
12,7,5,73,1442461,274538,19,529,6,1,0,0,0,71,125333,0,6,1239793,84300,0,85,19,12,gold
9,3,6,114,1742803,275337,22,575,12,2,1,1,0,51,136976,0,9,1449105,171566,0,83,22,11,gold
3,2,1,10,200636,54871,5,199,0,0,0,0,0,19,23535,0,0,178297,4996,0,7,5,10,gold
31,14,17,223,5163564,856227,19,1864,24,4,0,0,0,176,380830,0,38,4056146,714102,0,181,19,12,gold
47,19,28,336,7030316,1100109,14,2876,26,6,0,0,0,210,556916,0,39,6222798,324427,0,381,14,10,challenger
145,53,92,1022,22517516,3365289,21,6287,92,9,0,0,0,568,1699784,0,123,19433066,1278913,0,1039,21,14,challenger
71,32,39,530,14053542,1884357,18,4971,85,11,1,0,0,470,957183,0,80,12829183,197230,0,521,18,15,challenger
68,23,45,529,10308085,1697159,22,2806,54,9,3,0,0,323,819203,0,63,8773448,673774,0,542,22,10,challenger
249,101,148,1747,38737540,5776731,22,22953,168,14,2,0,0,1268,3050539,0,207,35066906,1496904,0,1829,22,15,master
22,7,15,194,4567839,624919,16,1156,20,2,0,0,0,107,311844,0,22,4112343,91697,0,180,16,13,master
99,42,57,779,17821584,2720078,21,4598,90,19,2,1,0,611,1306565,0,61,16171737,342275,0,831,21,14,master
23,5,18,206,3978975,538115,17,1255,29,9,0,0,0,97,296595,0,27,3546016,96264,0,163,17,10,master
17,6,11,175,2478711,398560,20,821,25,5,0,0,0,96,205758,0,13,1997254,291944,0,131,20,13,master
47,16,31,275,6847977,1369043,12,1649,22,1,1,0,0,280,540774,0,24,6031019,226618,0,390,12,12,master
68,24,44,537,11308207,1778370,18,3559,57,4,0,0,0,346,863181,0,81,10191110,250591,0,545,18,13,master
28,11,17,193,4055204,754508,14,1362,21,1,0,0,0,136,321847,0,33,3152720,541210,0,204,14,11,master
36,7,29,312,4717197,778850,16,1456,35,7,2,0,0,209,402875,0,30,4185503,152138,0,273,16,12,master
32,13,19,210,6224909,782048,13,2150,17,3,0,0,0,108,423516,0,39,5579811,133012,0,195,13,8,master
21,7,14,218,3986238,549231,22,1643,31,6,1,0,0,96,291194,0,24,3283253,419031,0,159,22,8,master
13,3,10,83,1965779,354854,12,686,5,0,0,0,0,68,164555,0,20,1596681,205992,0,130,12,13,silver
14,4,10,113,2048793,420460,18,767,7,0,0,0,0,90,181768,0,16,1815670,51491,0,146,18,9,silver
3,0,3,21,579404,100365,9,183,1,0,0,0,0,25,43607,0,0,515553,7261,0,27,9,12,bronze
23,10,13,188,3326064,668245,19,1541,18,0,0,0,0,174,310924,0,23,3111922,44353,0,236,19,14,bronze
6,5,1,15,647972,143983,5,265,0,0,0,0,0,51,60650,0,3,563682,16846,0,40,5,12,bronze
