totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
27,9,18,143,3949106,476764,10,5268,13,1,0,0,0,139,321345,0,34,347668,3590125,0,163,10,13,platinum
73,33,40,425,10534074,1497708,15,14234,42,4,1,0,0,337,901852,0,55,1127251,9348407,0,530,15,11,diamond
409,192,217,2985,55455930,8774311,25,63671,279,37,6,1,0,2134,4811218,0,298,4578820,50386645,0,2535,25,14,diamond
17,7,10,140,2906112,340465,13,3591,17,4,0,0,0,88,223894,0,14,216989,2675481,0,96,13,10,diamond
37,11,26,328,6665923,870400,19,7850,32,4,0,0,0,176,522935,0,55,584103,6049106,0,241,19,13,gold
23,10,13,144,3386995,571757,19,4571,17,1,0,0,0,130,296461,0,24,528426,2826427,0,154,19,11,gold
155,69,86,976,26270707,3595993,18,33740,86,7,2,0,0,854,2074169,0,159,3456333,22676692,0,944,18,12,gold
15,4,11,139,2521437,292282,15,3309,8,2,1,0,0,54,210021,0,20,273495,2232505,0,85,15,11,gold
36,17,19,178,4740126,745550,12,6232,16,1,0,0,0,178,391005,0,27,388721,4331631,0,223,12,12,challenger
49,24,25,301,7747044,897355,20,9556,30,7,1,0,0,174,586817,0,39,517100,7180607,0,304,20,9,challenger
35,11,24,206,5665349,722044,15,7311,21,1,0,0,0,154,440940,0,43,469391,5179575,0,223,15,10,challenger
67,30,37,387,9579810,1405392,14,13227,36,6,0,0,0,318,817346,0,66,983792,8566449,0,464,14,13,challenger
42,24,18,262,6826645,870521,18,9090,23,1,0,0,0,212,520340,0,20,483411,6327636,0,234,18,11,challenger
151,58,93,1142,27720329,3365193,21,25246,110,13,5,2,0,747,1956378,0,154,1581486,25506106,0,1072,21,12,challenger
20,8,12,116,3230153,466120,12,4335,4,0,0,0,0,90,258049,0,20,309852,2905165,0,168,12,11,challenger
16,4,12,105,2356381,290226,15,3231,10,2,0,0,0,65,192126,0,16,209884,2143453,0,111,15,10,challenger
45,14,31,255,5962302,995298,12,8526,26,4,1,0,0,220,534137,0,49,628134,5312451,0,322,12,13,challenger
13,7,6,61,1555645,272719,12,2308,8,1,0,0,0,71,146803,0,13,202989,1342576,0,77,12,10,challenger
130,44,86,931,22635118,2779767,18,22342,99,18,2,0,0,605,1620194,0,153,1405742,20830931,0,761,18,11,challenger
39,12,27,304,6299663,882015,18,7745,31,4,1,0,0,164,509730,0,32,431993,5843296,0,301,18,11,master
64,26,38,370,8807276,1295636,20,12092,33,4,1,0,0,303,745920,0,45,810367,7970684,0,382,20,12,master
72,13,59,699,12483152,1346224,34,14620,80,17,4,0,0,294,957892,0,97,626667,11800096,0,491,34,11,master
394,166,228,2523,59453236,7634087,25,71777,207,19,2,0,0,1946,4686479,0,329,3393301,55792639,0,2642,25,14,master
34,8,26,230,5476028,749831,16,7656,24,1,0,0,0,115,451791,0,41,619735,4823320,0,266,16,7,master
51,22,29,300,7826457,1239581,24,9913,28,5,1,0,0,254,642410,0,58,669505,7099463,0,363,24,12,master
46,29,17,255,6784055,1015328,15,9270,16,1,0,0,0,274,535632,0,22,488085,6275985,0,266,15,14,master
17,8,9,94,2342659,328909,13,3578,7,0,0,0,0,81,200823,0,16,298545,2033807,0,86,13,10,master
110,46,64,694,14131313,2007975,17,21135,62,5,1,0,0,472,1284061,0,109,1746177,12330315,0,522,17,10,master
66,30,36,340,10462581,1579304,14,15270,25,2,0,0,0,302,844952,0,74,934403,9488457,0,411,14,11,master
32,10,22,220,6808282,743440,17,7094,20,4,0,0,0,156,434630,0,34,297706,6479783,0,213,17,11,master
162,66,96,1116,29203764,3460243,19,27996,122,20,4,1,0,1019,2096162,0,139,2114374,26715661,0,1058,19,15,master
25,14,11,152,4918605,565648,11,5513,11,0,0,0,0,164,331009,0,31,278915,4621294,0,165,11,12,master
87,37,50,589,12232859,1692340,19,15983,56,10,2,0,0,392,1037756,0,66,1120185,11038785,0,530,19,13,master
31,14,17,160,3995512,585199,14,5255,14,1,0,0,0,157,349742,0,22,406392,3584243,0,134,14,12,master
4,2,2,21,408323,86794,10,687,3,0,0,0,0,27,42238,0,1,62032,345906,0,13,10,12,master
90,46,44,724,14425796,2022962,20,14135,66,16,1,0,0,463,1127823,0,72,1054691,13044352,0,521,20,11,master
33,15,18,201,6222323,621524,14,6398,24,3,0,0,0,138,413866,0,33,467500,5716926,0,182,14,9,master
370,165,205,2766,59483051,8199600,25,50181,281,44,4,0,0,2117,4453280,0,298,3486215,54524179,0,2423,25,13,master
68,35,33,420,9164066,1415005,18,12865,26,3,0,0,0,294,814160,0,55,944822,8167401,0,438,18,10,master
23,6,17,203,3684654,515580,14,4159,26,4,0,0,0,117,298549,0,9,254230,3407013,0,182,14,12,master
12,4,8,138,2527050,276244,22,2467,18,2,0,0,0,54,177020,0,16,112763,2399857,0,93,22,10,master
33,19,14,152,4785508,743207,11,6143,10,0,0,0,0,184,380137,0,27,485776,4252236,0,187,11,10,master
12,8,4,57,1337128,310652,11,1733,5,3,0,0,0,86,133324,0,7,178934,1152900,0,92,11,14,silver
6,4,2,29,682630,105781,10,918,2,0,0,0,0,29,64482,0,2,112950,568170,0,26,10,8,silver
8,8,0,14,761054,106954,4,1088,0,0,0,0,0,38,70731,0,1,116962,638861,0,21,4,9,silver
7,6,1,14,249002,86747,5,445,1,1,0,0,0,50,45030,0,1,63253,182159,0,18,5,11,bronze
